Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
community,company,0.6956421741785828,0.0058555805310239,0.684331865482236,0.7073288138492633,5353,9700,0.6970951510527648,0.0055096922917659,0.685663492352678,0.7075529322165227,5382,9910,0.0014529768741819993,True,False
community,non-profit,0.6625666966263623,0.0148897381783051,0.6337964524282278,0.6923999571283446,5353,2374,0.6363257360722412,0.0131502297761292,0.6108806237026695,0.6622906368424344,5382,2401,-0.026240960554121062,False,False
community,organization or individual,0.6878949880720994,0.0050673385484004,0.6777155195669718,0.6975822091579703,5353,40168,0.6725677177843906,0.0038872921509085,0.6651774649260813,0.6803681009908391,5382,39869,-0.01532727028770875,False,False
community,university,0.6400989345329207,0.0134218068995566,0.6151146691770416,0.6662067279849366,5353,2403,0.6506297169823363,0.0118051367629006,0.6283749542268555,0.6742138762415054,5382,2437,0.010530782449415632,True,False
company,community,0.677572348611636,0.0109191105339816,0.6557775076646585,0.698884978895987,9700,5353,0.6645533417849928,0.0093822330053411,0.6460588991091962,0.6828982451462967,9910,5382,-0.013019006826643142,True,False
company,non-profit,0.689908455391661,0.0144967030357014,0.6612394361909352,0.7180852912404382,9700,2374,0.686523763116869,0.012503927644165,0.6617325209613474,0.7109304909260905,9910,2401,-0.0033846922747919894,True,False
company,organization or individual,0.6554960183396741,0.0051362175130808,0.6454787611327869,0.6650830429170468,9700,40168,0.6560176637834988,0.0038066965224286,0.6486828835390099,0.663581069833685,9910,39869,0.0005216454438247142,True,False
company,university,0.6598770817437807,0.0130158228993788,0.6343054979763414,0.6857000585994055,9700,2403,0.6327753467970927,0.0122642333664657,0.6094390946007334,0.6570005096662374,9910,2437,-0.027101734946687994,False,False
non-profit,community,0.6866427497413079,0.0116839679019268,0.6649863958614156,0.7102680834081224,2374,5353,0.6704333130900585,0.0096628431984859,0.6515190439926274,0.6906349627373743,2401,5382,-0.01620943665124941,True,False
non-profit,company,0.7031167221007217,0.006069052605143,0.6905264215066889,0.7150460846623159,2374,9700,0.6917092006060298,0.0054213948259516,0.6807979458098598,0.7017974326361838,2401,9910,-0.01140752149469193,False,False
non-profit,organization or individual,0.681284447638016,0.0051277299453886,0.6713914140339035,0.6909693036571047,2374,40168,0.6647478050782816,0.0039136644128658,0.6571688153187866,0.6726528157325576,2401,39869,-0.016536642559734416,False,False
non-profit,university,0.6389264458519645,0.0132591838099186,0.61252281166385,0.6650644444056945,2374,2403,0.6198403515470357,0.0124186793344819,0.5965581532773766,0.6446986382175858,2401,2437,-0.019086094304928802,True,False
organization or individual,community,0.6864831088043868,0.0112178350461748,0.6637550824796795,0.7083189694146161,40168,5353,0.6709375103717241,0.0095494457694754,0.6516102759127027,0.6896891331270395,39869,5382,-0.015545598432662677,True,False
organization or individual,company,0.6871889165373879,0.0057630665328954,0.6768368367346992,0.6981984118415284,40168,9700,0.6557160760413709,0.005604719854021,0.6446807859806101,0.6666338577917811,39869,9910,-0.03147284049601695,False,True
organization or individual,non-profit,0.6684812046178603,0.0136881346670105,0.64083723008131,0.6949927549186857,40168,2374,0.6391559546681547,0.0126852887527686,0.6125840273165905,0.6635745860838246,39869,2401,-0.029325249949705645,False,False
organization or individual,university,0.7161358579231446,0.0130033321362436,0.6891859745101332,0.7395042354999359,40168,2403,0.6507834556146762,0.0116851608129805,0.6282419000635053,0.6740111554553186,39869,2437,-0.0653524023084684,False,True
university,community,0.6718226740518151,0.0115395452105884,0.6485580073248075,0.6949603768964627,2403,5353,0.6597753216660182,0.0103075522644685,0.6404300158799641,0.6809060070651506,2437,5382,-0.012047352385796906,True,False
university,company,0.680585368657186,0.0060378040078233,0.6684839045251304,0.6925635972625406,2403,9700,0.6764927275667055,0.0057705729126725,0.6649768727306286,0.6877713219891437,2437,9910,-0.004092641090480464,True,False
university,non-profit,0.6758176402187571,0.0133210968996512,0.6497618747333832,0.7007824328214489,2403,2374,0.6610269545547682,0.0129458543269264,0.6357885805152418,0.6838814407534645,2437,2401,-0.01479068566398889,True,False
university,organization or individual,0.6709290566688887,0.005091856433431,0.6604260000459831,0.6811715135546295,2403,40168,0.6547366325539389,0.0038532830668634,0.6473304895741976,0.66202545086316,2437,39869,-0.01619242411494981,False,False
