Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.789731124535269,0.007532426027895985,0.7748682958595196,0.8043744229816129,2165,7822
Audio,Multimodal,0.6863171418245808,0.012701670890457201,0.6617511319403712,0.7104287017690379,2165,1931
Audio,NLP,0.5974498590819287,0.004044498644555731,0.5893195136732484,0.6053485580778568,2165,28452
Audio,Other,0.6870252044151259,0.00630835078853675,0.6751722632315386,0.6988829211385407,2165,19670
Computer Vision,Audio,0.6984348938368297,0.013768975227672665,0.6718559762863278,0.725758435127224,7822,2165
Computer Vision,Multimodal,0.7103324022873098,0.01197891551042497,0.6874682275428654,0.7350741270524767,7822,1931
Computer Vision,NLP,0.6329440277039887,0.004158395396658725,0.6249515513693155,0.6411530831313842,7822,28452
Computer Vision,Other,0.6819253779736949,0.005562738780562356,0.6704466803494373,0.6928449600317206,7822,19670
Multimodal,Audio,0.6719850610515398,0.01468885987379309,0.6432986897267989,0.699831741930883,1931,2165
Multimodal,Computer Vision,0.7559453988840649,0.0077366635378497105,0.7403471833118067,0.7709023102234444,1931,7822
Multimodal,NLP,0.6402009887080169,0.0038710443997310193,0.6326020010735555,0.6475950095561135,1931,28452
Multimodal,Other,0.6717398323980228,0.006364773431110648,0.6590953836428571,0.6834552221899493,1931,19670
NLP,Audio,0.6636056897632426,0.014283433236168373,0.6342479583392708,0.6908233670622319,28452,2165
NLP,Computer Vision,0.7653075327795176,0.00797329546968976,0.7487763392499514,0.7808337759568589,28452,7822
NLP,Multimodal,0.757471928857967,0.011423057773422916,0.734851318884396,0.7802764803333263,28452,1931
NLP,Other,0.681198562602106,0.007275130099478503,0.6675327988814999,0.6953575916261264,28452,19670
Other,Audio,0.678654970987602,0.013941402203077153,0.6526738694887912,0.7068310456098126,19670,2165
Other,Computer Vision,0.7392240658359378,0.007882110086383693,0.7235851313189909,0.7534208263626165,19670,7822
Other,Multimodal,0.6947530329184276,0.012340261727085666,0.6690843650759217,0.7184044417059253,19670,1931
Other,NLP,0.6653963354434533,0.003919345331473035,0.6573293606768056,0.6727785639303047,19670,28452
