Feature,PermImportance_mean_main,rank_main,PermImportance_mean_current,rank_current,rank_delta,importance_delta
word_count_content,0.0346287433549176,1,0.0455808684601759,1,0,0.010952125105258302
model_size_bytes,0.0271565981794896,2,0.0199930467265084,5,3,-0.007163551452981202
num_github_links,0.0243559297549181,3,0.0185649975565878,6,3,-0.005790932198330299
has_supported_additional_frameworks_Libraries,0.0236710603118861,4,0.0375020490303578,2,-2,0.013830988718471701
word_count_yaml,0.021697954971908,5,0.0249253300627564,3,-2,0.0032273750908483993
num_arxiv,0.0186301626820605,6,0.0148741015114903,10,4,-0.0037560611705702
num_code_blk,0.0132670833290284,7,0.0181102637353379,7,0,0.004843180406309499
num_root_file,0.0128777201055413,8,0.0216046057787921,4,-4,0.008726885673250799
has_quantized,0.011179570131478,9,0.0173504105453713,8,-1,0.0061708404138933
has_config,0.0111384963481541,10,0.0082540228276608,14,4,-0.0028844735204932997
num_huggingface_links,0.010804548176283,11,0.0103344940339044,12,1,-0.0004700541423785995
has_safetensors,0.0104957443455658,12,0.0080915058663167,17,5,-0.0024042384792491
num_lists,0.0092566347970781,13,0.0099348380423002,13,0,0.0006782032452221001
has_pipeline_name,0.0081516706751477,14,0.0081003887652822,15,1,-5.128190986549916e-05
num_inline_code,0.0071602103733514,15,0.0080974541708631,16,1,0.0009372437975116998
has_license,0.005566106149493,17,0.0076900195760185,18,1,0.0021239134265254997
num_modules,0.0051552996699111,18,0.0041926531850308,21,3,-0.0009626464848803001
has_bibtex,0.0048719019672506,19,0.0058262183712684,19,0,0.0009543164040178003
has_widgetData,0.0046898379024805,20,0.0037014363849073,22,2,-0.0009884015175731999
num_table,0.0046766868919737,21,0.0127528265449662,11,-10,0.0080761396529925
num_static_img,0.0019042891259259,22,0.0022577156563896,23,1,0.0003534265304637003
has_model_index_result,0.0001167616127041,23,0.0007344776576176,24,1,0.0006177160449135
num_animated_img,-5.171745704875737e-06,25,-8.692821814510291e-05,26,1,-8.175647244022718e-05
has_video,-7.176218933339085e-05,26,-2.8903162160450376e-05,25,-1,4.285902717294048e-05
