Feature,PermImportance_mean_main,rank_main,PermImportance_mean_current,rank_current,rank_delta,importance_delta
word_count_content,0.0672042501441106,1,0.1047194567625607,1,0,0.03751520661845009
has_quantized,0.0579536608792445,2,0.0654343650500361,2,0,0.007480704170791594
model_size_bytes,0.0313290357929944,3,0.0294634642595918,3,0,-0.0018655715334025963
num_arxiv,0.0254021826372499,4,0.0149734143297348,7,3,-0.010428768307515102
word_count_yaml,0.0198198142853458,5,0.0214483170187434,4,-1,0.0016285027333976
num_huggingface_links,0.0191145021939369,6,0.0175590878658256,5,-1,-0.0015554143281113
num_code_blk,0.0164453997223055,7,0.0155869852346419,6,-1,-0.0008584144876635988
num_github_links,0.0162929582999756,8,0.0133372456383443,9,1,-0.0029557126616312993
has_license,0.0149168876613524,9,0.0140718868460813,8,-1,-0.0008450008152711009
num_root_file,0.0120592858211278,10,0.0122255615699449,10,0,0.00016627574881709906
num_lists,0.0109457699937011,11,0.0108771925555601,11,0,-6.85774381409994e-05
num_modules,0.0095286569861824,12,0.0056946436298744,17,5,-0.0038340133563079994
num_static_img,0.0085197488781789,13,0.0068810195751675,14,1,-0.0016387293030114
num_inline_code,0.0078006121112997,14,0.0086154213880793,12,-2,0.0008148092767795998
num_table,0.0067456423068483,15,0.004898862600667,20,5,-0.0018467797061812999
has_config,0.0062941657775218,16,0.0074045900460684,13,-3,0.0011104242685465995
has_pipeline_name,0.0062121415415928,17,0.005800552969602,16,-1,-0.00041158857199080027
has_bibtex,0.0053964670728852,18,0.0044349054834551,21,3,-0.0009615615894300999
has_safetensors,0.0052414775913667,19,0.006139468707304,15,-4,0.0008979911159372996
has_primary_implementation_library_name,0.0048358265685268,21,0.0050191577025244,19,-2,0.00018333113399760046
has_widgetData,0.0024999520639091,22,0.0033084633437111,22,0,0.0008085112798020002
has_model_index_result,0.001018126497479,23,0.0006490559621171,23,0,-0.0003690705353618999
has_video,0.0008023140286782,24,4.413858710535419e-06,24,0,-0.0007979001699676647
num_animated_img,3.714348928743893e-05,25,-1.1590783666256171e-05,26,1,-4.87342729536951e-05
has_space,4.635373428019119e-06,26,-8.982624648038821e-06,25,-1,-1.361799807605794e-05
