sort_by,Model,AUC_main,AUC_robust,delta_AUC,best_params_main,best_params_robust,params_changed,noticeable_drop
downloads,RandomForest,0.8609902509438716,0.8495364806959167,-0.011453770247954909,"{'clf__max_depth': 20, 'clf__n_estimators': 200}","{'clf__max_depth': 20, 'clf__n_estimators': 200}",False,False
downloads,KNN,0.8067603551557576,0.8039540914025329,-0.0028062637532246804,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
downloads,DecisionTree,0.7797951049800238,0.7665136958742161,-0.013281409105807662,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
downloads,SVM,0.7220793871017311,0.7012381333172608,-0.020841253784470326,{'clf__C': 10},{'clf__C': 10},False,True
downloads,NaiveBayes,0.6838911717807714,0.6692458484350792,-0.01464532334569224,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,False
likes,RandomForest,0.847747999398609,0.818111626441755,-0.029636372956854062,"{'clf__max_depth': None, 'clf__n_estimators': 200}","{'clf__max_depth': 20, 'clf__n_estimators': 200}",True,True
likes,KNN,0.7823343240705762,0.7688738613862012,-0.013460462684375063,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
likes,DecisionTree,0.757775997471096,0.7423077601643215,-0.01546823730677449,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
likes,SVM,0.7242643586160376,0.6919439735982157,-0.03232038501782186,{'clf__C': 10},{'clf__C': 10},False,True
likes,NaiveBayes,0.6841891484756235,0.6590412357024433,-0.02514791277318018,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,True
