Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
community,company,0.6973639819688505,0.006108707322331,0.6855101813916833,0.7090112294706961,5298,9510,0.6785073204230045,0.0053033062886046,0.6681809385984409,0.6888628950970427,5319,9822,-0.018856661545845976,False,False
community,non-profit,0.71502110526688,0.014114101903538,0.6871576225559842,0.7424875171305653,5298,2317,0.6878184131628392,0.0110897494418543,0.6664483124968932,0.71121051187947,5319,2347,-0.027202692104040804,False,False
community,organization or individual,0.6911059370998802,0.0053925105743677,0.6803660120426538,0.7018380974710506,5298,40472,0.6786980230397671,0.003746801526773,0.671384045652952,0.6861434600707559,5319,40085,-0.012407914060113101,False,False
community,university,0.6346081635149572,0.0159443226099945,0.6021950508751088,0.6651970096690555,5298,2402,0.628623266025403,0.0127085436363904,0.6036249093264839,0.6544177163278302,5319,2421,-0.0059848974895542195,True,False
company,community,0.697734409032458,0.0111928383088668,0.6772153994315867,0.7194297541875727,9510,5298,0.6783051271009863,0.0082289409300758,0.6613678946074665,0.6939673004116295,9822,5319,-0.019429281931471643,False,False
company,non-profit,0.7152781930184703,0.0138821768629526,0.6875939416508087,0.7433666539311985,9510,2317,0.6807531856211082,0.0111352586368931,0.6586725111038665,0.7029267566431129,9822,2347,-0.034525007397362084,False,True
company,organization or individual,0.7098284849185063,0.0049727988610467,0.7004274852944873,0.7193616109720208,9510,40472,0.660291871597553,0.003730630729383,0.6530334192340256,0.6675081677802284,9822,40085,-0.04953661332095327,False,True
company,university,0.6503815709921171,0.0173715950578802,0.6157161172523314,0.6819649538535921,9510,2402,0.6360011980477895,0.0124343380792215,0.6119276227366907,0.659844807557837,9822,2421,-0.01438037294432759,True,False
non-profit,community,0.6537238416022574,0.0108532702135675,0.6318799482319549,0.6741466463185719,2317,5298,0.6143955041107766,0.00899039081786,0.5961253615215449,0.6318582632549397,2347,5319,-0.03932833749148079,False,True
non-profit,company,0.701270402834237,0.0058653704184398,0.6892703551990388,0.7125802964386507,2317,9510,0.6763287189516392,0.0054113997420994,0.6656755583027621,0.6873847333849643,2347,9822,-0.024941683882597876,False,False
non-profit,organization or individual,0.6274446660159372,0.0053075574452757,0.6174085376577982,0.6383883894244744,2317,40472,0.6061476826572503,0.0038029792962067,0.5984961008557668,0.6132512081630328,2347,40085,-0.021296983358686905,False,False
non-profit,university,0.6148024801101698,0.0181878104560762,0.5797359416966704,0.6496902060749496,2317,2402,0.6240003993436005,0.0125786724973576,0.5986621711421496,0.6481601397840651,2347,2421,0.009197919233430718,True,False
organization or individual,community,0.7097139949229341,0.0104874637251358,0.6893850407312504,0.7301162818344853,40472,5298,0.703670060757095,0.0078223441964781,0.6883371263031621,0.7185587551923186,40085,5319,-0.006043934165839038,True,False
organization or individual,company,0.6704319291862962,0.006360915136816,0.6579204318521369,0.6832057876222668,40472,9510,0.6479404867842059,0.0054097462338896,0.6374475258285379,0.6592107971236879,40085,9822,-0.022491442402090334,False,False
organization or individual,non-profit,0.7061135787705689,0.0140214319518269,0.6787287238832229,0.7346461237835576,40472,2317,0.653868867931937,0.0120748137306864,0.6302596419933143,0.677161790593464,40085,2347,-0.052244710838631914,False,True
organization or individual,university,0.6409699605906621,0.0175260769610012,0.6059993292351465,0.6762018078592708,40472,2402,0.6178716137375532,0.013049825836018,0.5916017604166987,0.6438932101976996,40085,2421,-0.023098346853108964,True,False
university,community,0.646763015108936,0.0112129824882173,0.6251412489198125,0.6676581731775394,2402,5298,0.6290509274568765,0.0085782250286144,0.6125103140447555,0.6462328397592786,2421,5319,-0.01771208765205945,False,False
university,company,0.6481993992010662,0.0061787116327872,0.6358323398189788,0.6598793174992847,2402,9510,0.6369842696601379,0.0056410820187036,0.6256093008353372,0.647588388175727,2421,9822,-0.011215129540928293,False,False
university,non-profit,0.6505746306468289,0.0145597323614546,0.6217845490469365,0.6782016800709793,2402,2317,0.6455872740147707,0.0116507502727877,0.6227749816754705,0.6690257409870213,2421,2347,-0.004987356632058182,True,False
university,organization or individual,0.6322716306829682,0.0058295610139425,0.6206176471924363,0.6437333500571647,2402,40472,0.6112412516635154,0.0038727016614634,0.6038514259906469,0.6188487552382002,2421,40085,-0.021030379019452816,False,False
