Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
Audio,Computer Vision,0.7276096898097284,0.0079102031579677,0.7121749095046366,0.7427378576922338,2164,7521,0.7161007648489391,0.0066297217153434,0.7034951337421406,0.7296486518019879,2161,7576,-0.011508924960789257,True,False
Audio,Multimodal,0.6782255649675503,0.0135715600856661,0.6508068096657584,0.7048478686157219,2164,1942,0.6924141849208493,0.0118006043914464,0.668676929392306,0.7148552640013799,2161,1970,0.014188619953299009,True,False
Audio,NLP,0.6705465401909599,0.0047055330755541,0.6614237919055138,0.6801320444899959,2164,28302,0.6522170688136645,0.0036404285082155,0.6457312649640227,0.6594774144106862,2161,28429,-0.01832947137729546,False,False
Audio,Other,0.6845012733304471,0.0073664620892152,0.6698019444865168,0.6991701088500087,2164,20103,0.6719783095881153,0.0052651339125788,0.6619954388745345,0.6822276344292956,2161,19904,-0.01252296374233175,False,False
Computer Vision,Audio,0.7594870944339496,0.01345719108557,0.7327775201508993,0.7874482689554266,7521,2164,0.7152529446592125,0.0124251878711877,0.6903064580682227,0.739973008157483,7576,2161,-0.04423414977473705,False,True
Computer Vision,Multimodal,0.6917025288074009,0.0136391286142903,0.6642996453738617,0.7186658897354762,7521,1942,0.6790246587222296,0.011599498058966,0.6578461754744842,0.703458973963838,7576,1970,-0.012677870085171294,True,False
Computer Vision,NLP,0.6986331846802996,0.0048038411533715,0.6888971867016743,0.7085402791828022,7521,28302,0.6618889841663715,0.0036622656113425,0.654714794941138,0.6689724323854774,7576,28429,-0.036744200513928016,False,True
Computer Vision,Other,0.6379633119524782,0.0077617221589466,0.6228303973901627,0.6525288451563135,7521,20103,0.6033288669275362,0.0049970647509552,0.5938619901194808,0.6132604563363859,7576,19904,-0.03463444502494206,False,True
Multimodal,Audio,0.6910506941143458,0.0162115774555861,0.660093401189333,0.7226067249051907,1942,2164,0.6811457987441497,0.0128409272172555,0.6563590611396063,0.7073180775804278,1970,2161,-0.00990489537019612,True,False
Multimodal,Computer Vision,0.7047557628799107,0.0081042184077162,0.6897765138379351,0.7194321902139741,1942,7521,0.7031041156464594,0.0065640329277165,0.69120890013031,0.7158967866184947,1970,7576,-0.0016516472334513477,True,False
Multimodal,NLP,0.7253441240050524,0.0046760078407111,0.7160987156520615,0.7349182411243225,1942,28302,0.6910285803259737,0.0035554736587545,0.6842012310876872,0.697680951937004,1970,28429,-0.03431554367907874,False,True
Multimodal,Other,0.6805544963319948,0.0076957997933142,0.6658592818137824,0.6956970232186086,1942,20103,0.6715628842465804,0.0054107796828971,0.6609275098715564,0.6821582191712711,1970,19904,-0.008991612085414435,True,False
NLP,Audio,0.7656662239442583,0.0145617576639272,0.7366559316536057,0.7949043587207769,28302,2164,0.7082075040034872,0.0127499743271415,0.6829128044473877,0.7345819649464178,28429,2161,-0.05745871994077112,False,True
NLP,Computer Vision,0.7014089710343493,0.0085596596430937,0.6848385475676236,0.7180776005411086,28302,7521,0.6788622519791262,0.0073161000185871,0.6635668921925187,0.6922328047793043,28429,7576,-0.022546719055223097,False,False
NLP,Multimodal,0.7656700041304623,0.011633651007887,0.7426337985187319,0.7886630213174551,28302,1942,0.7341632841949415,0.0107276801577233,0.7130764713622905,0.7552519568884203,28429,1970,-0.03150671993552079,False,True
NLP,Other,0.7420110954695963,0.0062826273157951,0.7304168812393176,0.753953998884586,28302,20103,0.7257529175573525,0.004724017085877,0.7168142231635991,0.7349708865891389,28429,19904,-0.01625817791224382,False,False
Other,Audio,0.7235263853381969,0.0154675903966209,0.6928286026601533,0.7532579935226014,20103,2164,0.7259039692333823,0.0118566038513203,0.7026989505803638,0.7494197332129613,19904,2161,0.0023775838951853867,True,False
Other,Computer Vision,0.7316709082954171,0.0077496622431928,0.7160934188637389,0.7460130340395986,20103,7521,0.6371327121504341,0.0070093067639291,0.6230890993361089,0.6508477465770959,19904,7576,-0.09453819614498304,False,True
Other,Multimodal,0.7163728844172009,0.0127141234760598,0.6919024970927902,0.7415389193345473,20103,1942,0.6951699851964264,0.0113077190115147,0.6720526636141265,0.7173601170927051,19904,1970,-0.021202899220774563,True,False
Other,NLP,0.7357035141698767,0.0043731195982181,0.7272992748640285,0.744430560069682,20103,28302,0.7038550378079594,0.003522789643536,0.6969956878901473,0.7113671936545778,19904,28429,-0.03184847636191723,False,True
