k,mean_auc
5,0.7597720519108809
6,0.7707172600544162
7,0.7723994365191178
8,0.7793359815769728
9,0.7912988229289045
10,0.7964143207411303
11,0.8143516771249626
12,0.8166728117956735
13,0.820830351691354
14,0.8237944564470517
15,0.8255878024543415
16,0.826788529945523
17,0.8290489780693336
18,0.8294693798508082
19,0.8319203590956041
20,0.8330380529374679
21,0.8351285315015813
22,0.8354564504250627
23,0.8415270679225191
24,0.8418579117122288
25,0.8415127119752384
26,0.8418775160636528
27,0.8415236170788385
