Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.19682918735365423,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.0005165538940905953,Cliff's Delta,0.014494363554279615,negligible,0.0006158911814157097,True
num_model_files,Continuous,Mann-Whitney U,2.230952306693577e-21,Cliff's Delta,0.05322908493120718,negligible,3.6399748161842574e-21,True
model_size_bytes,Continuous,Mann-Whitney U,1.0176300964781166e-45,Cliff's Delta,0.08032122853222387,negligible,1.855678411224801e-45,True
num_root_file,Continuous,Mann-Whitney U,1.5609106739219203e-32,Cliff's Delta,0.06712684317239886,negligible,2.6882350495321956e-32,True
num_modules,Continuous,Mann-Whitney U,2.9308715338304996e-69,Cliff's Delta,0.07309045504465567,negligible,6.989001349903498e-69,True
num_lists,Continuous,Mann-Whitney U,5.5881298207145115e-257,Cliff's Delta,0.18076066354092274,small,2.8872004073691643e-256,True
num_static_img,Continuous,Mann-Whitney U,2.7555719350686523e-13,Cliff's Delta,0.03095641825695931,negligible,3.559280416130343e-13,True
num_animated_img,Continuous,Mann-Whitney U,4.3866781336369546e-18,Cliff's Delta,0.005862114550533724,negligible,6.181228279215708e-18,True
num_github_links,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.20162141472829548,small,0.0,True
num_huggingface_links,Continuous,Mann-Whitney U,1.2527538826811212e-19,Cliff's Delta,0.04922841731558446,negligible,1.8493033506245123e-19,True
num_code_blk,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.22932910174605406,small,0.0,True
num_inline_code,Continuous,Mann-Whitney U,4.544535414952273e-245,Cliff's Delta,0.1568818545246743,small,2.0125799694788638e-244,True
num_table,Continuous,Mann-Whitney U,1.6945101689762716e-94,Cliff's Delta,0.0987651496392529,negligible,4.7754377489331286e-94,True
word_count_yaml,Continuous,Mann-Whitney U,1.765805399910602e-15,Cliff's Delta,0.044956420557805674,negligible,2.3799985824882025e-15,True
word_count_content,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.26633769212188785,small,0.0,True
has_dataset,Binary,Chi-square,0.02840564748516981,Cramér's V,0.008931114990266333,negligible,0.030364657656560833,True
match_huggingface_dataset,Binary,Chi-square,0.6124194921755383,Cramér's V,0.0020645318436688133,negligible,0.6124194921755383,False
has_safetensors,Binary,Chi-square,7.5112169209178e-60,Cramér's V,0.06649187917984133,negligible,1.5523181636563454e-59,True
has_quantized,Binary,Chi-square,3.6069395324961412e-224,Cramér's V,0.1302504843746788,small,1.3976890688422547e-223,True
has_license,Binary,Chi-square,7.214074511123547e-157,Cramér's V,0.10873970732376748,small,2.2363630984482997e-156,True
has_space,Binary,Chi-square,0.019731906956702468,Cramér's V,0.00950068543257549,negligible,0.02184603984492059,True
has_pipeline_name,Binary,Chi-square,4.263288859336719e-175,Cramér's V,0.11496303599219652,small,1.4684661626604253e-174,True
has_primary_implementation_library_name,Binary,Chi-square,6.7885052196527e-21,Cramér's V,0.03821203239105996,negligible,1.0522183090461685e-20,True
if_supported_libraries,Binary,Chi-square,0.0009583798236404398,Cramér's V,0.013457843382460326,negligible,0.0011003620197353198,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,2.1361416407158782e-05,Cramér's V,0.017319785647036713,negligible,2.6488156344876893e-05,True
has_widgetData,Binary,Chi-square,1.1627867212199674e-51,Cramér's V,0.06162273694455323,negligible,2.2528992723636868e-51,True
has_config,Binary,Chi-square,7.613929908409143e-85,Cramér's V,0.07954042428920458,negligible,1.9669318930056954e-84,True
has_model_index_result,Binary,Chi-square,0.11328525853799337,Cramér's V,0.0064532983771654305,negligible,0.11706143382259315,False
has_video,Binary,Chi-square,1.7505470677456363e-64,Cramér's V,0.06909541614688358,negligible,3.876211364293909e-64,True
has_bibtex,Binary,Chi-square,0.0,Cramér's V,0.16259382669229655,small,0.0,True
