Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7161007648489391,0.006629721715343466,0.7034951337421406,0.7296486518019879,2161,7576
Audio,Multimodal,0.6924141849208493,0.011800604391446416,0.668676929392306,0.7148552640013799,2161,1970
Audio,NLP,0.6522170688136645,0.003640428508215575,0.6457312649640227,0.6594774144106862,2161,28429
Audio,Other,0.6719783095881153,0.005265133912578843,0.6619954388745345,0.6822276344292956,2161,19904
Audio,Reinforcement Learning,0.6310703146207528,0.05699723473601291,0.5135216553859447,0.745116876657825,2161,149
Computer Vision,Audio,0.7152529446592125,0.012425187871187786,0.6903064580682227,0.739973008157483,7576,2161
Computer Vision,Multimodal,0.6790246587222296,0.011599498058966082,0.6578461754744842,0.703458973963838,7576,1970
Computer Vision,NLP,0.6618889841663715,0.00366226561134259,0.654714794941138,0.6689724323854774,7576,28429
Computer Vision,Other,0.6033288669275362,0.004997064750955246,0.5938619901194808,0.6132604563363859,7576,19904
Computer Vision,Reinforcement Learning,0.679326420925947,0.052325236595754006,0.5770671139423511,0.7804644438157369,7576,149
Multimodal,Audio,0.6811457987441497,0.012840927217255502,0.6563590611396063,0.7073180775804278,1970,2161
Multimodal,Computer Vision,0.7031041156464594,0.006564032927716531,0.69120890013031,0.7158967866184947,1970,7576
Multimodal,NLP,0.6910285803259737,0.0035554736587545955,0.6842012310876872,0.697680951937004,1970,28429
Multimodal,Other,0.6715628842465804,0.005410779682897101,0.6609275098715564,0.6821582191712711,1970,19904
Multimodal,Reinforcement Learning,0.7412376488274546,0.046738969574045615,0.6462825529455845,0.82971660579272,1970,149
NLP,Audio,0.7082075040034872,0.012749974327141592,0.6829128044473877,0.7345819649464178,28429,2161
NLP,Computer Vision,0.6788622519791262,0.007316100018587171,0.6635668921925187,0.6922328047793043,28429,7576
NLP,Multimodal,0.7341632841949415,0.010727680157723355,0.7130764713622905,0.7552519568884203,28429,1970
NLP,Other,0.7257529175573525,0.004724017085877035,0.7168142231635991,0.7349708865891389,28429,19904
NLP,Reinforcement Learning,0.6709678649639694,0.05056188955182426,0.5689991379310344,0.766383672003284,28429,149
Other,Audio,0.7259039692333823,0.01185660385132036,0.7026989505803638,0.7494197332129613,19904,2161
Other,Computer Vision,0.6371327121504341,0.007009306763929131,0.6230890993361089,0.6508477465770959,19904,7576
Other,Multimodal,0.6951699851964264,0.011307719011514799,0.6720526636141265,0.7173601170927051,19904,1970
Other,NLP,0.7038550378079594,0.0035227896435360197,0.6969956878901473,0.7113671936545778,19904,28429
Other,Reinforcement Learning,0.6468937874458816,0.05343995370172785,0.5430167175680549,0.7447339203858343,19904,149
Reinforcement Learning,Audio,0.624764988814337,0.014096902447869786,0.5967753422679051,0.6514706352828981,149,2161
Reinforcement Learning,Computer Vision,0.6415012659825733,0.007381111282555829,0.627503816090146,0.6562764712462297,149,7576
Reinforcement Learning,Multimodal,0.5998178122105067,0.01276600911636402,0.575409666250686,0.6256921608720448,149,1970
Reinforcement Learning,NLP,0.5856492026113023,0.003975310436044902,0.5779470749122095,0.5931364397738043,149,28429
Reinforcement Learning,Other,0.592991197665207,0.005522611491021831,0.5813863887055835,0.603647544249412,149,19904
