Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
Audio,Computer Vision,0.7742203848533751,0.0087858597563771,0.7565487329618935,0.7910571353768777,2187,7853,0.7386209093026316,0.0128668680619573,0.7137607304115439,0.7626298833867176,2155,7698,-0.0355994755507435,False,True
Audio,Multimodal,0.7095386021601551,0.0135155916548553,0.6844995000173157,0.7357685289812321,2187,1913,0.7265122272455473,0.0164123753292407,0.6949171067034362,0.7586263971013179,2155,1869,0.01697362508539224,True,False
Audio,NLP,0.6158397656187063,0.0048628476787845,0.6063760086176749,0.6252710035577429,2187,27809,0.6397750713964324,0.0065575841208811,0.6275242400835344,0.6526974093245888,2155,27808,0.023935305777726068,False,False
Audio,Other,0.6668467978690985,0.0084882859200298,0.6509584541646689,0.6835237761878654,2187,20276,0.6758807255565041,0.0136152984234341,0.6495878206644092,0.7028224203393466,2155,20511,0.00903392768740563,True,False
Computer Vision,Audio,0.6978560934404909,0.0151500913018778,0.6677467368902334,0.7269196992112098,7853,2187,0.7222977959015421,0.0183824394859083,0.6848115890813582,0.7549731458282626,7698,2155,0.02444170246105115,True,False
Computer Vision,Multimodal,0.703450475444814,0.0124596142884855,0.6784954635355237,0.7276686348945254,7853,1913,0.6609344020875487,0.0167405325170199,0.6281742185125775,0.6953630963067152,7698,1869,-0.04251607335726526,False,True
Computer Vision,NLP,0.6656091490468939,0.0047717167654287,0.6566661057468507,0.6751907960976875,7853,27809,0.6781027038537909,0.0065306003421786,0.6645692003819398,0.6912389150801729,7698,27808,0.012493554806896956,True,False
Computer Vision,Other,0.6445892884534851,0.007356290837543,0.6310471085940755,0.6591298188601837,7853,20276,0.7130299775359986,0.0127149405425077,0.6892889707904618,0.7383851435876736,7698,20511,0.06844068908251355,False,True
Multimodal,Audio,0.682554334491311,0.0162980548218197,0.6521443104985789,0.7151606126330402,1913,2187,0.7062752066821124,0.0199032573066145,0.6672037340071689,0.7458277086054707,1869,2155,0.023720872190801434,True,False
Multimodal,Computer Vision,0.7501749574889068,0.0091871446189113,0.7328269260419705,0.7682273792599403,1913,7853,0.7590553346268422,0.0121043351858724,0.7355796018839568,0.7837788161986894,1869,7698,0.008880377137935325,True,False
Multimodal,NLP,0.6647154737577352,0.0045110754157645,0.6558926540539367,0.6739276751948828,1913,27809,0.6780644202829827,0.0060732209250487,0.6661159109841696,0.6898260218579052,1869,27808,0.01334894652524754,False,False
Multimodal,Other,0.6307249328662881,0.0079194974257035,0.6148261037348639,0.6456924232223353,1913,20276,0.6383192625044287,0.0148207525225954,0.6082453544776989,0.667409615297106,1869,20511,0.007594329638140662,True,False
NLP,Audio,0.6718588900738189,0.0158182022061993,0.6414792924747414,0.7037636520579508,27809,2187,0.6768780371974485,0.0202389742876743,0.6390892041548346,0.7170605878455049,27808,2155,0.005019147123629608,True,False
NLP,Computer Vision,0.7769332225254918,0.0090819015529963,0.7589107448534385,0.7933278553042058,27809,7853,0.8030247453930515,0.0115532156300499,0.7800123273798034,0.8246310468182986,27808,7698,0.02609152286755967,False,False
NLP,Multimodal,0.7714401924590191,0.0122294566919168,0.7472919338940004,0.7960714420712492,27809,1913,0.7754370636038568,0.0154083052008086,0.7446286229692741,0.8041014287494149,27808,1869,0.00399687114483771,True,False
NLP,Other,0.7060785451528291,0.0089294393685186,0.6881127709905608,0.7236032664669887,27809,20276,0.7726486519536776,0.0131379288758681,0.7457040041124305,0.798548302804401,27808,20511,0.06657010680084852,False,True
Other,Audio,0.6820271193138926,0.0142572909149512,0.6540276340775201,0.7097186104268822,20276,2187,0.6912313941267989,0.0182600052647158,0.656068656129222,0.7270506013477162,20511,2155,0.00920427481290631,True,False
Other,Computer Vision,0.7096351414836212,0.009217672326182,0.6904981535485488,0.726961583229104,20276,7853,0.6950869755750014,0.0119967290987701,0.6726903451358978,0.7174868362522735,20511,7698,-0.014548165908619737,True,False
Other,Multimodal,0.6637571946135906,0.0125758710954393,0.6383083836963691,0.6880382192813036,20276,1913,0.6727129080468265,0.0160970403282835,0.6410110469640808,0.7043238601845894,20511,1869,0.008955713433235868,True,False
Other,NLP,0.7098480201226204,0.0043030916594229,0.7010918394015041,0.7179016788321894,20276,27809,0.7292474634037656,0.0057264261068152,0.7182259124827971,0.740380025034714,20511,27808,0.01939944328114518,False,False
