Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.33349417737372367,medium,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.2634869048384054,Cliff's Delta,0.00845143732382304,negligible,0.28165841551691617,False
num_model_files,Continuous,Mann-Whitney U,1.1384153766364907e-15,Cliff's Delta,-0.08149621490328135,negligible,1.6041307579877822e-15,True
model_size_bytes,Continuous,Mann-Whitney U,2.8015791722204643e-88,Cliff's Delta,-0.20460491562284802,small,7.237412861569533e-88,True
num_root_file,Continuous,Mann-Whitney U,4.593260639366219e-07,Cliff's Delta,0.05172713640916613,negligible,5.695643192814112e-07,True
num_modules,Continuous,Mann-Whitney U,5.8121571105255495e-05,Cliff's Delta,0.03051831031388032,negligible,6.929879631780462e-05,True
num_lists,Continuous,Mann-Whitney U,6.886850880589775e-52,Cliff's Delta,0.14518181319052018,negligible,1.4232825153218867e-51,True
num_static_img,Continuous,Mann-Whitney U,2.9652587081677264e-24,Cliff's Delta,-0.07829025187291529,negligible,4.596150997659976e-24,True
num_animated_img,Continuous,Mann-Whitney U,0.6697166498818403,Cliff's Delta,0.0005289629002410821,negligible,0.6697166498818403,False
num_github_links,Continuous,Mann-Whitney U,7.360864728670901e-215,Cliff's Delta,0.28448291826461375,small,5.704670164719949e-214,True
num_huggingface_links,Continuous,Mann-Whitney U,0.0004125390869953703,Cliff's Delta,0.034702731181637574,negligible,0.0004736559887724622,True
num_code_blk,Continuous,Mann-Whitney U,4.906991931169399e-215,Cliff's Delta,0.30669983841741955,small,5.070558328875046e-214,True
num_inline_code,Continuous,Mann-Whitney U,3.792287274023508e-108,Cliff's Delta,0.18704446697210686,small,1.068735504497534e-107,True
num_table,Continuous,Mann-Whitney U,2.3719006147160345e-67,Cliff's Delta,0.14901006325240906,small,5.2520656468712194e-67,True
word_count_yaml,Continuous,Mann-Whitney U,5.855387301202643e-45,Cliff's Delta,0.1442666174867313,negligible,1.134481289608012e-44,True
word_count_content,Continuous,Mann-Whitney U,1.6019466245404171e-181,Cliff's Delta,0.29488640898872126,small,9.932069072150586e-181,True
has_dataset,Binary,Chi-square,0.38321835162113094,Cramér's V,0.0035534009612702014,negligible,0.3959922966751686,False
match_huggingface_dataset,Binary,Chi-square,1.0515815918139452e-15,Cramér's V,0.03268498037026264,negligible,1.5523347307729668e-15,True
has_safetensors,Binary,Chi-square,6.983373598907586e-141,Cramér's V,0.10297382167953995,small,2.405384239623724e-140,True
has_quantized,Binary,Chi-square,3.2922652439045274e-43,Cramér's V,0.056160921685433046,negligible,5.670012364502241e-43,True
has_license,Binary,Chi-square,3.329618301444472e-37,Cramér's V,0.05193643249217988,negligible,5.432535123409402e-37,True
has_space,Binary,Chi-square,0.17871199448564296,Cramér's V,0.0054798967832324855,negligible,0.19785970818053328,False
has_pipeline_name,Binary,Chi-square,3.7300726840987827e-146,Cramér's V,0.1049104080437253,small,1.651889331529461e-145,True
has_primary_implementation_library_name,Binary,Chi-square,6.0226866119338894e-114,Cramér's V,0.09245142847037863,negligible,1.8670328496995056e-113,True
if_supported_libraries,Binary,Chi-square,8.605412697731195e-69,Cramér's V,0.07143223443642766,negligible,2.052059950997439e-68,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,1.2195724528094336e-141,Cramér's V,0.10325441879315536,small,4.725843254636555e-141,True
has_widgetData,Binary,Chi-square,5.296255035655033e-44,Cramér's V,0.05669587584412384,negligible,9.657876829723885e-44,True
has_config,Binary,Chi-square,1.6190603450792854e-163,Cramér's V,0.1110500041858669,small,8.365145116242975e-163,True
has_model_index_result,Binary,Chi-square,3.146426157619216e-14,Cramér's V,0.03093866470548795,negligible,4.240835255921552e-14,True
has_video,Binary,Chi-square,7.536613837471995e-08,Cramér's V,0.021915344744315564,negligible,9.734792873401327e-08,True
has_bibtex,Binary,Chi-square,0.0,Cramér's V,0.16451665041083408,small,0.0,True
