Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6970196814468782,0.007640275008812613,0.682091035074863,0.7111268634045147,5326,9276
community,non-profit,0.6843686060649155,0.02033778654152429,0.6414630548505779,0.7248945095582024,5326,2312
community,organization or individual,0.724906840761638,0.007914518301471416,0.7083822469557176,0.7398048932564857,5326,40719
community,university,0.6698617284666525,0.016671726064552393,0.6378762208726879,0.7012426720149078,5326,2364
company,community,0.7236054521684544,0.01527050759167999,0.694906211933482,0.7518696503562875,9276,5326
company,non-profit,0.710202658961668,0.019485281199251234,0.6713557854702842,0.747724239819358,9276,2312
company,organization or individual,0.6906333848069572,0.007271203951168302,0.6765393781495018,0.7052164300075378,9276,40719
company,university,0.6657333950725443,0.015947947748522942,0.6332624890236264,0.6976909453060371,9276,2364
non-profit,community,0.7001100985920489,0.017485643789991463,0.6675845695646085,0.7349087659547506,2312,5326
non-profit,company,0.7169712426456115,0.007650880907248856,0.7025911259839761,0.7319319049944252,2312,9276
non-profit,organization or individual,0.6918354706264667,0.007930627121766343,0.6759877959581948,0.7067618283588654,2312,40719
non-profit,university,0.6408714739438136,0.015649280302722186,0.6097527839945698,0.6722737332676434,2312,2364
organization or individual,community,0.772896279058637,0.014093657561407118,0.7460053628174402,0.8003422329535864,40719,5326
organization or individual,company,0.6914318540411172,0.007505319756765605,0.6771408293330443,0.705979467505924,40719,9276
organization or individual,non-profit,0.6836698394372318,0.018411177897883355,0.6484742576013789,0.7196767790699558,40719,2312
organization or individual,university,0.7602575357345911,0.013998358490491147,0.7313050078608653,0.7863043970629282,40719,2364
university,community,0.7256473008143784,0.016650104136968536,0.6931357895606145,0.7575763467161117,2364,5326
university,company,0.6690521172357394,0.007868404240309842,0.6525935287717702,0.6841822082558439,2364,9276
university,non-profit,0.6743834013564484,0.01852730695436406,0.6358381267163203,0.710403228215714,2364,2312
university,organization or individual,0.7059363166248718,0.008280032652396092,0.6883156262141372,0.7215915672166217,2364,40719
