Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.7171150518653099,0.006978937813092517,0.7037734929490487,0.7305971067476212,5310,9264
community,non-profit,0.7340673772335821,0.019988570997706477,0.6956808889960793,0.7732517276382196,5310,2298
community,organization or individual,0.7237042717570085,0.007895361475861715,0.7082570600445224,0.7389775683470438,5310,40709
community,university,0.67791122867844,0.02352835175229534,0.6313147631271372,0.7267964388105818,5310,2420
company,community,0.7372239365448561,0.013335379792674896,0.7117346666023888,0.7641490567210397,9264,5310
company,non-profit,0.7283312418973326,0.019017503777116033,0.6910518777945222,0.7647182766366283,9264,2298
company,organization or individual,0.7373419477131178,0.0070570554319957625,0.7232958197219196,0.7513741529066698,9264,40709
company,university,0.6743266320337318,0.026080506388002432,0.6199756304174392,0.7224621397459724,9264,2420
non-profit,community,0.6633033622357275,0.014838856691677038,0.633797740633097,0.6923728520144108,2298,5310
non-profit,company,0.7012424726372919,0.007294252127609859,0.6864439371885185,0.7152695956814361,2298,9264
non-profit,organization or individual,0.6272426405705844,0.008443085476998055,0.6108957077528515,0.6436127844200749,2298,40709
non-profit,university,0.626339944887625,0.02884123332188726,0.5681732360247032,0.6849267098666844,2298,2420
organization or individual,community,0.7335779492180381,0.012855990697679521,0.7086780949528741,0.7583866770178063,40709,5310
organization or individual,company,0.6791022244578717,0.007486004460858244,0.66401660166389,0.693597940243053,40709,9264
organization or individual,non-profit,0.7130085777595276,0.018420936008553292,0.6771177674659763,0.7506873130193813,40709,2298
organization or individual,university,0.6474589144614452,0.028077101347104828,0.5921926695865841,0.7011830467285753,40709,2420
university,community,0.6718609651147015,0.013662612302917071,0.6448273429080723,0.70016856525088,2420,5310
university,company,0.6521711588086216,0.00740991574268942,0.6376341725432682,0.6670354381775306,2420,9264
university,non-profit,0.6832222789141038,0.019212194394751126,0.6455303900715299,0.7198420155113952,2420,2298
university,organization or individual,0.6287442436725575,0.008461550796692049,0.6120485287527403,0.6445869932423309,2420,40709
