Feature,PermImportance_mean_main,rank_main,PermImportance_mean_robust,rank_robust,rank_delta,importance_delta
word_count_content,0.0346287433549176,1,0.0390898223350555,1,0,0.004461078980137902
model_size_bytes,0.0271565981794896,2,0.0313753004304835,2,0,0.004218702250993897
num_github_links,0.0243559297549181,3,0.0270646330564328,3,0,0.002708703301514702
has_supported_additional_frameworks_Libraries,0.0236710603118861,4,0.0230044733728091,4,0,-0.0006665869390770005
word_count_yaml,0.021697954971908,5,0.022731056411498,5,0,0.001033101439589998
num_arxiv,0.0186301626820605,6,0.0153738180100434,7,1,-0.0032563446720171012
num_code_blk,0.0132670833290284,7,0.021736093555091,6,-1,0.008469010226062598
num_root_file,0.0128777201055413,8,0.013520728368115,9,1,0.0006430082625736994
has_quantized,0.011179570131478,9,0.0127454557107606,10,1,0.0015658855792826006
has_config,0.0111384963481541,10,0.0135365317533508,8,-2,0.002398035405196699
num_huggingface_links,0.010804548176283,11,0.0087049639127353,13,2,-0.002099584263547699
has_safetensors,0.0104957443455658,12,0.0088990138165382,12,0,-0.0015967305290275988
num_lists,0.0092566347970781,13,0.008941478218864,11,-2,-0.0003151565782140986
has_pipeline_name,0.0081516706751477,14,0.0061366058150285,16,2,-0.0020150648601191994
num_inline_code,0.0071602103733514,15,0.0061047153788361,17,2,-0.0010554949945153005
has_license,0.005566106149493,17,0.0054729621466492,18,1,-9.314400284379971e-05
num_modules,0.0051552996699111,18,0.0042298641846509,19,1,-0.0009254354852601997
has_bibtex,0.0048719019672506,19,0.0040023108667708,21,2,-0.0008695911004797992
has_widgetData,0.0046898379024805,20,0.0040722030144526,20,0,-0.0006176348880279001
num_table,0.0046766868919737,21,0.0061369915529332,15,-6,0.0014603046609594997
num_static_img,0.0019042891259259,22,0.000803248743978,23,1,-0.0011010403819479
has_model_index_result,0.0001167616127041,23,0.0008577659722197,22,-1,0.0007410043595156
has_space,5.176399694314012e-06,24,1.0620254681955228e-05,25,1,5.443854987641216e-06
has_video,-7.176218933339085e-05,26,9.584459391290825e-05,24,-2,0.00016760678324629908
