Feature,PermImportance_mean_main,rank_main,PermImportance_mean_robust,rank_robust,rank_delta,importance_delta
word_count_content,0.0672042501441106,1,0.0644643299257839,1,0,-0.0027399202183267107
has_quantized,0.0579536608792445,2,0.0569775868474055,2,0,-0.000976074031839004
model_size_bytes,0.0313290357929944,3,0.0379812531378293,3,0,0.006652217344834906
num_arxiv,0.0254021826372499,4,0.0231965257477083,4,0,-0.0022056568895416004
word_count_yaml,0.0198198142853458,5,0.0230702505872116,5,0,0.0032504363018657986
num_huggingface_links,0.0191145021939369,6,0.0197612128074478,8,2,0.0006467106135109001
num_code_blk,0.0164453997223055,7,0.0226611832539899,7,0,0.0062157835316844
num_github_links,0.0162929582999756,8,0.0227112188012214,6,-2,0.0064182605012458
has_license,0.0149168876613524,9,0.0139488713308905,10,1,-0.0009680163304618995
num_root_file,0.0120592858211278,10,0.0134538924515244,12,2,0.0013946066303965991
num_lists,0.0109457699937011,11,0.0138657881337524,11,0,0.0029200181400513003
num_modules,0.0095286569861824,12,0.0152623231391705,9,-3,0.0057336661529881
num_static_img,0.0085197488781789,13,0.0083846744550115,16,3,-0.00013507442316739934
num_inline_code,0.0078006121112997,14,0.0088003824146242,15,1,0.0009997703033245006
num_table,0.0067456423068483,15,0.008923536065307,14,-1,0.0021778937584587005
has_config,0.0062941657775218,16,0.0092765396580105,13,-3,0.0029823738804887
has_pipeline_name,0.0062121415415928,17,0.0055787813293357,17,0,-0.0006333602122571003
has_bibtex,0.0053964670728852,18,0.0054412343138196,18,0,4.476724093440028e-05
has_safetensors,0.0052414775913667,19,0.0053985313474357,19,0,0.00015705375606899982
match_huggingface_dataset,0.0049794195935371,20,0.0041997908707112,21,1,-0.0007796287228258999
has_primary_implementation_library_name,0.0048358265685268,21,0.0051793586306184,20,-1,0.0003435320620915998
has_widgetData,0.0024999520639091,22,0.0010731821952876,22,0,-0.0014267698686215
has_model_index_result,0.001018126497479,23,0.0006505736812806,23,0,-0.00036755281619839993
has_video,0.0008023140286782,24,0.0004845651428237,24,0,-0.0003177488858545001
num_animated_img,3.714348928743893e-05,25,9.92070415563114e-05,25,0,6.206355226887247e-05
has_space,4.635373428019119e-06,26,6.200291736465265e-06,26,0,1.5649183084461466e-06
