sort_by,Model,AUC_main,AUC_robust,delta_AUC,best_params_main,best_params_robust,params_changed,noticeable_drop
downloads,RandomForest,0.8609902509438716,0.8466919347185164,-0.014298316225355157,"{'clf__max_depth': 20, 'clf__n_estimators': 200}","{'clf__max_depth': 20, 'clf__n_estimators': 200}",False,False
downloads,KNN,0.8067603551557576,0.7918450764022172,-0.014915278753540373,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
downloads,DecisionTree,0.7797951049800238,0.7634654592111241,-0.016329645768899725,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
downloads,SVM,0.7220793871017311,0.7070502833649648,-0.015029103736766358,{'clf__C': 10},{'clf__C': 0.1},True,False
downloads,NaiveBayes,0.6838911717807714,0.6745353374473183,-0.009355834333453106,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,False
likes,RandomForest,0.847747999398609,0.8408917871631784,-0.006856212235430648,"{'clf__max_depth': None, 'clf__n_estimators': 200}","{'clf__max_depth': None, 'clf__n_estimators': 200}",False,False
likes,KNN,0.7823343240705762,0.7735290680716431,-0.008805255998933115,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
likes,DecisionTree,0.757775997471096,0.7518338101154889,-0.0059421873556071425,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
likes,SVM,0.7242643586160376,0.7146624648006923,-0.009601893815345264,{'clf__C': 10},{'clf__C': 10},False,False
likes,NaiveBayes,0.6841891484756235,0.6772608228949756,-0.006928325580647932,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,False
