Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
community,company,0.6956421741785828,0.0058555805310239,0.684331865482236,0.7073288138492633,5353,9700,0.6899272145565374,0.0062206317963808,0.6782656083088398,0.7024926550977919,5314,9436,-0.005714959622045379,True,False
community,non-profit,0.6625666966263623,0.0148897381783051,0.6337964524282278,0.6923999571283446,5353,2374,0.6414092956667438,0.0147494583958029,0.6129185895006309,0.6704032157401206,5314,2334,-0.02115740095961849,True,False
community,organization or individual,0.6878949880720994,0.0050673385484004,0.6777155195669718,0.6975822091579703,5353,40168,0.6786472106105013,0.005081370103216,0.668966209100198,0.6881675359102924,5314,39959,-0.009247777461598106,True,False
community,university,0.6400989345329207,0.0134218068995566,0.6151146691770416,0.6662067279849366,5353,2403,0.6199127294655631,0.0138317352842105,0.5923492004945058,0.6463309300053328,5314,2353,-0.020186205067357577,True,False
company,community,0.677572348611636,0.0109191105339816,0.6557775076646585,0.698884978895987,9700,5353,0.6680697700587394,0.0108515681982541,0.6463171035611136,0.6898384775384458,9436,5314,-0.009502578552896601,True,False
company,non-profit,0.689908455391661,0.0144967030357014,0.6612394361909352,0.7180852912404382,9700,2374,0.6673164490628756,0.0141094892994405,0.6408457556040655,0.6948375766333664,9436,2334,-0.02259200632878544,True,False
company,organization or individual,0.6554960183396741,0.0051362175130808,0.6454787611327869,0.6650830429170468,9700,40168,0.6381364319751791,0.0049284390809674,0.6284331337238219,0.6478490876895726,9436,39959,-0.017359586364494972,False,False
company,university,0.6598770817437807,0.0130158228993788,0.6343054979763414,0.6857000585994055,9700,2403,0.6434197366527292,0.0138195127409796,0.615868481521321,0.6715023288780574,9436,2353,-0.016457345091051456,True,False
non-profit,community,0.6866427497413079,0.0116839679019268,0.6649863958614156,0.7102680834081224,2374,5353,0.6584012088189634,0.0115673406513112,0.6353415933272153,0.6805027373275183,2334,5314,-0.028241540922344543,False,False
non-profit,company,0.7031167221007217,0.006069052605143,0.6905264215066889,0.7150460846623159,2374,9700,0.6711844667871353,0.006427538147307,0.6585428558299041,0.6831572213553372,2334,9436,-0.031932255313586455,False,True
non-profit,organization or individual,0.681284447638016,0.0051277299453886,0.6713914140339035,0.6909693036571047,2374,40168,0.6722556299204724,0.0047661597474506,0.6628891325752366,0.6812181399473374,2334,39959,-0.009028817717543602,False,False
non-profit,university,0.6389264458519645,0.0132591838099186,0.61252281166385,0.6650644444056945,2374,2403,0.6290345422728205,0.0134880509357373,0.6007230341433014,0.6547120329279642,2334,2353,-0.009891903579143935,True,False
organization or individual,community,0.6864831088043868,0.0112178350461748,0.6637550824796795,0.7083189694146161,40168,5353,0.6869301214599919,0.0113684587492801,0.6655779340135392,0.7092742315551366,39959,5314,0.0004470126556050946,True,False
organization or individual,company,0.6871889165373879,0.0057630665328954,0.6768368367346992,0.6981984118415284,40168,9700,0.6678636213705466,0.0059641766638061,0.6559346190964092,0.679302978104214,39959,9436,-0.01932529516684134,False,False
organization or individual,non-profit,0.6684812046178603,0.0136881346670105,0.64083723008131,0.6949927549186857,40168,2374,0.6501968672432351,0.0138347158400614,0.6229630223595025,0.678129116748051,39959,2334,-0.018284337374625204,True,False
organization or individual,university,0.7161358579231446,0.0130033321362436,0.6891859745101332,0.7395042354999359,40168,2403,0.6964702579544766,0.013675539283903,0.6692151703550132,0.7231968767201281,39959,2353,-0.019665599968668013,True,False
university,community,0.6718226740518151,0.0115395452105884,0.6485580073248075,0.6949603768964627,2403,5353,0.6541202636767182,0.0116239789335654,0.6321727069588085,0.6766410168683566,2353,5314,-0.0177024103750969,True,False
university,company,0.680585368657186,0.0060378040078233,0.6684839045251304,0.6925635972625406,2403,9700,0.6573679564955489,0.0063321259141986,0.6453263343373276,0.6698725593791607,2353,9436,-0.023217412161637085,False,False
university,non-profit,0.6758176402187571,0.0133210968996512,0.6497618747333832,0.7007824328214489,2403,2374,0.6468380081096666,0.0131973889899957,0.6216593433256103,0.67212352080449,2353,2334,-0.028979632109090492,False,False
university,organization or individual,0.6709290566688887,0.005091856433431,0.6604260000459831,0.6811715135546295,2403,40168,0.6505286550929769,0.0049624750310168,0.6404499919329387,0.6603177631208318,2353,39959,-0.02040040157591183,False,False
