Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
community,company,0.6973639819688505,0.006108707322331,0.6855101813916833,0.7090112294706961,5298,9510,0.6946106575098062,0.0059350233409456,0.6822794185696353,0.7060195053641097,5276,9249,-0.002753324459044304,True,False
community,non-profit,0.71502110526688,0.014114101903538,0.6871576225559842,0.7424875171305653,5298,2317,0.724054387928499,0.0135625297048013,0.6979223678534466,0.7513284339611255,5276,2275,0.009033282661618958,True,False
community,organization or individual,0.6911059370998802,0.0053925105743677,0.6803660120426538,0.7018380974710506,5298,40472,0.6801456742938744,0.0052533156136617,0.6700065760876085,0.6906225243835588,5276,40257,-0.010960262806005816,False,False
community,university,0.6346081635149572,0.0159443226099945,0.6021950508751088,0.6651970096690555,5298,2402,0.6362331205418782,0.0172362089114969,0.6028947321691873,0.6694768875678052,5276,2342,0.0016249570269210034,True,False
company,community,0.697734409032458,0.0111928383088668,0.6772153994315867,0.7194297541875727,9510,5298,0.6930522584951377,0.010447624008582,0.6728840868954195,0.7127929097069525,9249,5276,-0.00468215053732024,True,False
company,non-profit,0.7152781930184703,0.0138821768629526,0.6875939416508087,0.7433666539311985,9510,2317,0.7034170853507373,0.0138175402584713,0.6755273185506029,0.7310014669521001,9249,2275,-0.011861107667732962,True,False
company,organization or individual,0.7098284849185063,0.0049727988610467,0.7004274852944873,0.7193616109720208,9510,40472,0.6947044880689941,0.0050731307317543,0.6846218309932185,0.7047330174325959,9249,40257,-0.015123996849512156,False,False
company,university,0.6503815709921171,0.0173715950578802,0.6157161172523314,0.6819649538535921,9510,2402,0.6649836881458563,0.0176037010327083,0.6294729395012482,0.6980648431111153,9249,2342,0.014602117153739158,True,False
non-profit,community,0.6537238416022574,0.0108532702135675,0.6318799482319549,0.6741466463185719,2317,5298,0.63412340263857,0.0109879486458441,0.6126052136863372,0.6548981790281901,2275,5276,-0.01960043896368735,True,False
non-profit,company,0.701270402834237,0.0058653704184398,0.6892703551990388,0.7125802964386507,2317,9510,0.6973755565232728,0.0059965372032111,0.6857090479614196,0.7095001878363228,2275,9249,-0.0038948463109642617,True,False
non-profit,organization or individual,0.6274446660159372,0.0053075574452757,0.6174085376577982,0.6383883894244744,2317,40472,0.6139030422133391,0.0052256407675317,0.603818046276242,0.6242149759018725,2275,40257,-0.013541623802598046,False,False
non-profit,university,0.6148024801101698,0.0181878104560762,0.5797359416966704,0.6496902060749496,2317,2402,0.6524477006713086,0.0177683403709957,0.6187253618068251,0.6849930128431836,2275,2342,0.03764522056113884,False,True
organization or individual,community,0.7097139949229341,0.0104874637251358,0.6893850407312504,0.7301162818344853,40472,5298,0.6979419093633187,0.0103913212544635,0.6765882684744301,0.7185934489960478,40257,5276,-0.011772085559615397,True,False
organization or individual,company,0.6704319291862962,0.006360915136816,0.6579204318521369,0.6832057876222668,40472,9510,0.6830667494238778,0.005881432831208,0.6713702618437982,0.6945438304791434,40257,9249,0.012634820237581557,False,False
organization or individual,non-profit,0.7061135787705689,0.0140214319518269,0.6787287238832229,0.7346461237835576,40472,2317,0.6952647947064461,0.0144121569951094,0.6683744754221357,0.723143402125556,40257,2275,-0.010848784064122818,True,False
organization or individual,university,0.6409699605906621,0.0175260769610012,0.6059993292351465,0.6762018078592708,40472,2402,0.6285826205980252,0.0183094126105763,0.5941421460569277,0.6637217177025703,40257,2342,-0.01238733999263697,True,False
university,community,0.646763015108936,0.0112129824882173,0.6251412489198125,0.6676581731775394,2402,5298,0.646295007798711,0.0111212357148902,0.6251957752166282,0.6682407149154854,2342,5276,-0.00046800731022500486,True,False
university,company,0.6481993992010662,0.0061787116327872,0.6358323398189788,0.6598793174992847,2402,9510,0.6337315067138435,0.0060864899081598,0.621604219189439,0.644681991401081,2342,9249,-0.014467892487222689,False,False
university,non-profit,0.6505746306468289,0.0145597323614546,0.6217845490469365,0.6782016800709793,2402,2317,0.6650152588617191,0.0140626673793872,0.6372435694989989,0.6903354252914812,2342,2275,0.014440628214890228,True,False
university,organization or individual,0.6322716306829682,0.0058295610139425,0.6206176471924363,0.6437333500571647,2402,40472,0.626922926824944,0.0055798855863058,0.6165411080319902,0.6388828332428417,2342,40257,-0.0053487038580242174,True,False
