Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
Audio,Computer Vision,0.7742203848533751,0.0087858597563771,0.7565487329618935,0.7910571353768777,2187,7853,0.7589507767528518,0.009078256870478,0.7409097261032416,0.7770806290362339,2106,7787,-0.015269608100523246,True,False
Audio,Multimodal,0.7095386021601551,0.0135155916548553,0.6844995000173157,0.7357685289812321,2187,1913,0.7026713571765822,0.0136457579963506,0.6770753697006744,0.7299810067712199,2106,1868,-0.006867244983572829,True,False
Audio,NLP,0.6158397656187063,0.0048628476787845,0.6063760086176749,0.6252710035577429,2187,27809,0.616632908543322,0.0047398378713147,0.6067760534747044,0.6252612130021112,2106,27523,0.0007931429246156307,True,False
Audio,Other,0.6668467978690985,0.0084882859200298,0.6509584541646689,0.6835237761878654,2187,20276,0.652235013747589,0.0082386348403582,0.6361487776341106,0.6678464639991675,2106,20161,-0.014611784121509541,True,False
Computer Vision,Audio,0.6978560934404909,0.0151500913018778,0.6677467368902334,0.7269196992112098,7853,2187,0.6905460968836153,0.0172206348512299,0.6559365041736328,0.7220765245981524,7787,2106,-0.0073099965568755865,True,False
Computer Vision,Multimodal,0.703450475444814,0.0124596142884855,0.6784954635355237,0.7276686348945254,7853,1913,0.6863604600834476,0.0133843527880384,0.659755277465305,0.7139422700115529,7787,1868,-0.01709001536136634,True,False
Computer Vision,NLP,0.6656091490468939,0.0047717167654287,0.6566661057468507,0.6751907960976875,7853,27809,0.6565409531186419,0.0050327732869469,0.6473117392911211,0.6668513751191159,7787,27523,-0.009068195928252032,True,False
Computer Vision,Other,0.6445892884534851,0.007356290837543,0.6310471085940755,0.6591298188601837,7853,20276,0.6483391249262659,0.0070570162756983,0.6343351791406809,0.6621384001316629,7787,20161,0.003749836472780821,True,False
Multimodal,Audio,0.682554334491311,0.0162980548218197,0.6521443104985789,0.7151606126330402,1913,2187,0.6600261282654075,0.0165975726802826,0.6287886571979845,0.6912715144838555,1868,2106,-0.022528206225903458,True,False
Multimodal,Computer Vision,0.7501749574889068,0.0091871446189113,0.7328269260419705,0.7682273792599403,1913,7853,0.7344095444494043,0.0094768610665843,0.7147443860358489,0.7533497895386849,1868,7787,-0.01576541303950252,True,False
Multimodal,NLP,0.6647154737577352,0.0045110754157645,0.6558926540539367,0.6739276751948828,1913,27809,0.658889179378028,0.0047428077294373,0.6495079928248959,0.6687073398051651,1868,27523,-0.005826294379707164,True,False
Multimodal,Other,0.6307249328662881,0.0079194974257035,0.6148261037348639,0.6456924232223353,1913,20276,0.6257359660974605,0.0079943960754133,0.6092269804165875,0.6422190378866968,1868,20161,-0.004988966768827541,True,False
NLP,Audio,0.6718588900738189,0.0158182022061993,0.6414792924747414,0.7037636520579508,27809,2187,0.6629872355282311,0.0171366667382796,0.6303828154619014,0.6946677155320105,27523,2106,-0.008871654545587804,True,False
NLP,Computer Vision,0.7769332225254918,0.0090819015529963,0.7589107448534385,0.7933278553042058,27809,7853,0.7638209934875478,0.0093419758581201,0.7450090176606717,0.7818948526929715,27523,7787,-0.013112229037943957,True,False
NLP,Multimodal,0.7714401924590191,0.0122294566919168,0.7472919338940004,0.7960714420712492,27809,1913,0.7616899365797035,0.01259982309525,0.736648171599569,0.7846631903310194,27523,1868,-0.00975025587931555,True,False
NLP,Other,0.7060785451528291,0.0089294393685186,0.6881127709905608,0.7236032664669887,27809,20276,0.6642928062893979,0.0093387741115378,0.6464967976656997,0.6836628862505265,27523,20161,-0.04178573886343118,False,True
Other,Audio,0.6820271193138926,0.0142572909149512,0.6540276340775201,0.7097186104268822,20276,2187,0.6773758348145804,0.0149037183558249,0.6475993268297772,0.7064998880346632,20161,2106,-0.0046512844993121805,True,False
Other,Computer Vision,0.7096351414836212,0.009217672326182,0.6904981535485488,0.726961583229104,20276,7853,0.699414338312005,0.0090630341247218,0.6810909141906847,0.715889152306926,20161,7787,-0.010220803171616222,True,False
Other,Multimodal,0.6637571946135906,0.0125758710954393,0.6383083836963691,0.6880382192813036,20276,1913,0.6796941660415766,0.0130243653329926,0.6540834405309098,0.7054003168713828,20161,1868,0.015936971427986002,True,False
Other,NLP,0.7098480201226204,0.0043030916594229,0.7010918394015041,0.7179016788321894,20276,27809,0.678067402140467,0.004700359201193,0.6689925001138178,0.6869714308553252,20161,27523,-0.03178061798215337,False,True
