Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
Audio,Computer Vision,0.7276096898097284,0.0079102031579677,0.7121749095046366,0.7427378576922338,2164,7521,0.7278730482724634,0.0076451192872465,0.7121018564242432,0.741575510244143,2089,7446,0.0002633584627349528,True,False
Audio,Multimodal,0.6782255649675503,0.0135715600856661,0.6508068096657584,0.7048478686157219,2164,1942,0.6805453590932466,0.0138009462232547,0.6538083128997352,0.7072081161900625,2089,1912,0.002319794125696384,True,False
Audio,NLP,0.6705465401909599,0.0047055330755541,0.6614237919055138,0.6801320444899959,2164,28302,0.6694092046703614,0.0049836749645992,0.659921734215267,0.6791917795292008,2089,27955,-0.0011373355205985813,True,False
Audio,Other,0.6845012733304471,0.0073664620892152,0.6698019444865168,0.6991701088500087,2164,20103,0.6806317249715166,0.0072765748588081,0.6658392639921692,0.6946900863362168,2089,20034,-0.003869548358930497,True,False
Computer Vision,Audio,0.7594870944339496,0.01345719108557,0.7327775201508993,0.7874482689554266,7521,2164,0.7458328018538417,0.0148958169980601,0.7160306827213445,0.7743257733676058,7446,2089,-0.013654292580107863,True,False
Computer Vision,Multimodal,0.6917025288074009,0.0136391286142903,0.6642996453738617,0.7186658897354762,7521,1942,0.690186033678116,0.0139318364578223,0.6627542452810344,0.7172113315407064,7446,1912,-0.0015164951292848672,True,False
Computer Vision,NLP,0.6986331846802996,0.0048038411533715,0.6888971867016743,0.7085402791828022,7521,28302,0.6845062245859737,0.0049124502438878,0.6749494377618617,0.6943040925826793,7446,27955,-0.014126960094325902,False,False
Computer Vision,Other,0.6379633119524782,0.0077617221589466,0.6228303973901627,0.6525288451563135,7521,20103,0.6397461675754472,0.0081989109191798,0.6239244683577834,0.655768537056317,7446,20034,0.0017828556229689818,True,False
Multimodal,Audio,0.6910506941143458,0.0162115774555861,0.660093401189333,0.7226067249051907,1942,2164,0.6724380892469857,0.0163413370221797,0.6382723674805499,0.7025965546636095,1912,2089,-0.01861260486736016,True,False
Multimodal,Computer Vision,0.7047557628799107,0.0081042184077162,0.6897765138379351,0.7194321902139741,1942,7521,0.7112577132429533,0.0079832029413711,0.6947241681469264,0.7262236813662115,1912,7446,0.0065019503630425746,True,False
Multimodal,NLP,0.7253441240050524,0.0046760078407111,0.7160987156520615,0.7349182411243225,1942,28302,0.7272208663671516,0.0047844269449597,0.717463965834804,0.7366557146245871,1912,27955,0.0018767423620991153,True,False
Multimodal,Other,0.6805544963319948,0.0076957997933142,0.6658592818137824,0.6956970232186086,1942,20103,0.6773044826190401,0.0076861403301392,0.662219599144745,0.6922435458490958,1912,20034,-0.003250013712954747,True,False
NLP,Audio,0.7656662239442583,0.0145617576639272,0.7366559316536057,0.7949043587207769,28302,2164,0.7550621046228466,0.0144564997920977,0.7278471568010879,0.7812351382176653,27955,2089,-0.010604119321411698,True,False
NLP,Computer Vision,0.7014089710343493,0.0085596596430937,0.6848385475676236,0.7180776005411086,28302,7521,0.6828789716795857,0.008676918492372,0.6656381043651977,0.6998567995587709,27955,7446,-0.018529999354763627,False,False
NLP,Multimodal,0.7656700041304623,0.011633651007887,0.7426337985187319,0.7886630213174551,28302,1942,0.7583517034263653,0.0126675297846912,0.7334998203735622,0.7831288426933823,27955,1912,-0.007318300704097003,True,False
NLP,Other,0.7420110954695963,0.0062826273157951,0.7304168812393176,0.753953998884586,28302,20103,0.730356936964022,0.0064578562427331,0.7180366282401134,0.7425806352117333,27955,20034,-0.011654158505574275,True,False
Other,Audio,0.7235263853381969,0.0154675903966209,0.6928286026601533,0.7532579935226014,20103,2164,0.7192703281862479,0.0163647470177175,0.686353973777835,0.7498873795510015,20034,2089,-0.004256057151948989,True,False
Other,Computer Vision,0.7316709082954171,0.0077496622431928,0.7160934188637389,0.7460130340395986,20103,7521,0.723674836160164,0.0078073077139109,0.7076031568758628,0.7384400605268873,20034,7446,-0.007996072135253107,True,False
Other,Multimodal,0.7163728844172009,0.0127141234760598,0.6919024970927902,0.7415389193345473,20103,1942,0.7201096196070698,0.0130703840936705,0.6930565807110954,0.745596670966606,20034,1912,0.003736735189868834,True,False
Other,NLP,0.7357035141698767,0.0043731195982181,0.7272992748640285,0.744430560069682,20103,28302,0.7302471315310995,0.0046428207256798,0.7209852481780958,0.7388341972972068,20034,27955,-0.005456382638777124,True,False
