id,downloads,likes
sentence-transformers_all-MiniLM-L6-v2,187393215,4518
google-bert_bert-base-uncased,60873623,2578
google_electra-base-discriminator,48227365,83
Falconsai_nsfw_image_detection,40235989,1000
sentence-transformers_all-mpnet-base-v2,26331045,1253
FacebookAI_xlm-roberta-base,24503872,791
sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2,21033784,1143
FacebookAI_roberta-large,21004305,266
laion_clap-htsat-fused,19464520,55
openai_clip-vit-base-patch32,19412497,869
Qwen_Qwen2.5-7B-Instruct,18725795,1101
BAAI_bge-m3,18297198,2783
Bingsu_adetailer,15424939,662
colbert-ir_colbertv2.0,13361180,313
cross-encoder_ms-marco-MiniLM-L6-v2,12490132,193
Xenova_paraphrase-multilingual-MiniLM-L12-v2,12222913,14
Qwen_Qwen3-0.6B,10869648,1113
omni-research_Tarsier2-Recap-7b,10482084,22
hexgrad_Kokoro-82M,10048466,5777
openai-community_gpt2,9695296,3117
FacebookAI_roberta-base,9596857,563
Kijai_WanVideo_comfy,8591288,2128
Comfy-Org_Wan_2.2_ComfyUI_Repackaged,8044033,603
distilbert_distilbert-base-uncased,7980826,837
coqui_XTTS-v2,7972776,3410
OpenMuQ_MuQ-large-msd-iter,7414512,18
facebook_contriever,7350447,73
dima806_fairface_age_image_detection,7327337,60
Qwen_Qwen2.5-0.5B-Instruct,7292814,467
Qwen_Qwen2.5-1.5B-Instruct,7085837,625
FacebookAI_xlm-roberta-large,6844406,496
meta-llama_Llama-3.1-8B-Instruct,6735189,5502
openai_clip-vit-large-patch14,6715244,1966
Qwen_Qwen2.5-3B-Instruct,6453490,408
openai_gpt-oss-20b,6227655,4408
sentence-transformers_paraphrase-multilingual-mpnet-base-v2,6069301,452
openai_whisper-large-v3,6045986,5427
ProsusAI_finbert,6005934,1093
BAAI_bge-small-en-v1.5,5911146,415
usyd-community_vitpose-plus-base,5872734,29
BAAI_bge-large-en-v1.5,5775833,631
Qwen_Qwen3-1.7B,5755204,424
Qwen_Qwen3-8B,5534558,962
facebook_opt-125m,5501934,233
autogluon_chronos-bolt-base,5394532,35
argmaxinc_whisperkit-coreml,5352777,161
Qwen_Qwen3-4B,5266986,559
jinaai_jina-embeddings-v3,5232635,1132
nomic-ai_nomic-embed-text-v1.5,5129553,778
BAAI_bge-base-en-v1.5,5094483,403
openai_clip-vit-large-patch14-336,5039903,287
Comfy-Org_Wan_2.1_ComfyUI_repackaged,4901570,853
intfloat_multilingual-e5-large,4850954,1144
sentence-transformers_multi-qa-mpnet-base-dot-v1,4843651,191
cardiffnlp_twitter-roberta-base-sentiment-latest,4839177,774
lpiccinelli_unidepth-v2-vitl14,4648710,4
facebook_esmfold_v1,4628425,47
dphn_dolphin-2.9.1-yi-1.5-34b,4554933,55
google-bert_bert-base-multilingual-uncased,4405110,153
amazon_chronos-bolt-base,4400736,77
sentence-transformers_all-MiniLM-L12-v2,4369640,297
laion_CLIP-ViT-B-32-DataComp.XL-s13B-b90K,4336781,5
google_vit-base-patch16-224,4233507,940
jonatasgrosman_wav2vec2-large-xlsr-53-russian,4225866,64
Qwen_Qwen3-Embedding-0.6B,4219557,891
google-bert_bert-base-multilingual-cased,4059513,572
distilbert_distilbert-base-uncased-finetuned-sst-2-english,3940906,880
openai_whisper-large-v3-turbo,3934714,2842
openai_gpt-oss-120b,3919170,4533
sentence-transformers_paraphrase-MiniLM-L6-v2,3914036,145
BAAI_bge-reranker-v2-m3,3827672,899
Qwen_Qwen2.5-32B-Instruct,3819941,333
IDEA-Research_grounding-dino-base,3807519,164
facebook_bart-large-mnli,3806150,1539
Qwen_Qwen2.5-VL-7B-Instruct,3708100,1458
Qwen_Qwen3-4B-Instruct-2507,3678357,753
vikhyatk_moondream2,3577127,1377
meta-llama_Llama-3.2-1B-Instruct,3571008,1300
facebook_wav2vec2-base-960h,3563368,389
facebook_w2v-bert-2.0,3552110,206
Qwen_Qwen2-1.5B-Instruct,3492856,160
sentence-transformers_LaBSE,3350295,331
Qwen_Qwen3-32B,3322430,663
jonatasgrosman_wav2vec2-large-xlsr-53-portuguese,3260501,38
Qwen_Qwen2-VL-2B-Instruct,3215946,489
nomic-ai_nomic-embed-text-v1,3201087,555
MahmoudAshraf_mms-300m-1130-forced-aligner,2985673,74
google_gemma-3-1b-it,2948568,859
answerdotai_JaColBERTv2.5,2946047,22
emilyalsentzer_Bio_ClinicalBERT,2938708,417
mistralai_Mistral-7B-Instruct-v0.2,2865899,3085
laion_CLIP-ViT-B-32-laion2B-s34B-b79K,2864941,136
