Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.23951988559484916,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.00025100582682095166,Cliff's Delta,0.020232181112372998,negligible,0.00032421585964372923,True
num_model_files,Continuous,Mann-Whitney U,0.14959952867629267,Cliff's Delta,0.010736028071732165,negligible,0.15991673755051977,False
model_size_bytes,Continuous,Mann-Whitney U,7.542620290138602e-17,Cliff's Delta,-0.062742365346279,negligible,1.1691061449714833e-16,True
num_root_file,Continuous,Mann-Whitney U,5.121151924966992e-56,Cliff's Delta,0.11849123876426827,negligible,8.819761648554264e-56,True
num_modules,Continuous,Mann-Whitney U,0.22042570194305933,Cliff's Delta,-0.006833108878553073,negligible,0.2277732253411613,False
num_lists,Continuous,Mann-Whitney U,1.4893154796635383e-70,Cliff's Delta,0.12471109738442596,negligible,2.8855487418481056e-70,True
num_static_img,Continuous,Mann-Whitney U,2.3806986126149415e-10,Cliff's Delta,-0.03568221830343825,negligible,3.3546207723210536e-10,True
num_animated_img,Continuous,Mann-Whitney U,0.45629127957383286,Cliff's Delta,0.0006836046484910949,negligible,0.45629127957383286,False
num_github_links,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2550560080438101,small,0.0,True
num_huggingface_links,Continuous,Mann-Whitney U,7.559841507006337e-56,Cliff's Delta,0.11326544790023203,negligible,1.2334478248273496e-55,True
num_code_blk,Continuous,Mann-Whitney U,1.2791721505219088e-303,Cliff's Delta,0.2674839264209558,small,7.930867333235835e-303,True
num_inline_code,Continuous,Mann-Whitney U,5.139367322937141e-146,Cliff's Delta,0.1599486800454207,small,1.770226522345015e-145,True
num_table,Continuous,Mann-Whitney U,1.4248702426181524e-194,Cliff's Delta,0.18719333783017897,small,7.361829586860455e-194,True
word_count_yaml,Continuous,Mann-Whitney U,1.5380751735443095e-89,Cliff's Delta,0.15070386757901938,small,3.667717721528738e-89,True
word_count_content,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2934040286111348,small,0.0,True
has_dataset,Binary,Chi-square,0.003132850566881118,Cramér's V,0.012100141530183524,negligible,0.0037353218297428714,True
match_huggingface_dataset,Binary,Chi-square,0.0003506775728040742,Cramér's V,0.014640553181270948,negligible,0.00043484019027705207,True
has_safetensors,Binary,Chi-square,7.615205226620011e-118,Cramér's V,0.09452128162524434,negligible,1.9672613502101694e-117,True
has_quantized,Binary,Chi-square,0.02185643597391766,Cramér's V,0.009390712574216632,negligible,0.025094426488572127,True
has_license,Binary,Chi-square,1.313263349528582e-65,Cramér's V,0.07006469285735534,negligible,2.3947743432580026e-65,True
has_space,Binary,Chi-square,0.11991411779161619,Cramér's V,0.0063692763227100315,negligible,0.13276205898357507,False
has_pipeline_name,Binary,Chi-square,1.6595853004417597e-193,Cramér's V,0.12153442606644918,small,7.349592044813508e-193,True
has_primary_implementation_library_name,Binary,Chi-square,1.2980217935846286e-124,Cramér's V,0.09724285379572596,negligible,3.6580614182839533e-124,True
if_supported_libraries,Binary,Chi-square,4.0011576885978735e-74,Cramér's V,0.0745978044869583,negligible,8.269059223102272e-74,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,3.0041824254669023e-163,Cramér's V,0.11151740187228995,small,1.1641206898684246e-162,True
has_widgetData,Binary,Chi-square,1.782316815492221e-78,Cramér's V,0.07681133309954097,negligible,3.9465586628756323e-78,True
has_config,Binary,Chi-square,1.4102963784201157e-139,Cramér's V,0.10300578669375765,small,4.371918773102358e-139,True
has_model_index_result,Binary,Chi-square,9.346508679393407e-06,Cramér's V,0.01815093059116206,negligible,1.2597468220051984e-05,True
has_video,Binary,Chi-square,7.265848386155344e-13,Cramér's V,0.029383531634783685,negligible,1.0725776189086461e-12,True
has_bibtex,Binary,Chi-square,0.0,Cramér's V,0.1643769530450655,small,0.0,True
