Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2225845222575624,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.7229421864961192,Cliff's Delta,0.0019662388052978895,negligible,0.7229421864961192,False
num_model_files,Continuous,Mann-Whitney U,4.534353072707907e-40,Cliff's Delta,0.09876502401873576,negligible,8.268526191408536e-40,True
model_size_bytes,Continuous,Mann-Whitney U,3.028816204365318e-70,Cliff's Delta,0.1333246749451662,negligible,6.706664452523205e-70,True
num_root_file,Continuous,Mann-Whitney U,5.328686497698872e-32,Cliff's Delta,0.08847742967797771,negligible,9.177182301592501e-32,True
num_modules,Continuous,Mann-Whitney U,4.945438544273681e-79,Cliff's Delta,0.1035869723637288,negligible,1.3937144988407646e-78,True
num_lists,Continuous,Mann-Whitney U,4.137343098269745e-161,Cliff's Delta,0.18934442074300437,small,1.8322519435194586e-160,True
num_static_img,Continuous,Mann-Whitney U,1.4977707701905229e-15,Cliff's Delta,0.04493457565988383,negligible,2.1104951761775547e-15,True
num_animated_img,Continuous,Mann-Whitney U,2.2046537863524397e-11,Cliff's Delta,0.005888419122608156,negligible,2.9714898859532884e-11,True
num_github_links,Continuous,Mann-Whitney U,6.467479911507337e-231,Cliff's Delta,0.2164085396803775,small,4.009837545134549e-230,True
num_huggingface_links,Continuous,Mann-Whitney U,1.448204014168481e-16,Cliff's Delta,0.05959541108390392,negligible,2.1378249732963293e-16,True
num_code_blk,Continuous,Mann-Whitney U,1.0423916613613496e-236,Cliff's Delta,0.2359163401165314,small,8.07853537555046e-236,True
num_inline_code,Continuous,Mann-Whitney U,8.654989252574137e-167,Cliff's Delta,0.17075396553494226,small,4.471744447163304e-166,True
num_table,Continuous,Mann-Whitney U,3.88988430011033e-72,Cliff's Delta,0.11405055240448124,negligible,1.0048867775285018e-71,True
word_count_yaml,Continuous,Mann-Whitney U,9.364325451958569e-08,Cliff's Delta,0.04010420484700148,negligible,1.209558704211315e-07,True
word_count_content,Continuous,Mann-Whitney U,6.1804126317652e-310,Cliff's Delta,0.2829659439163477,small,9.579639579236043e-309,True
has_dataset,Binary,Chi-square,0.5400410221566965,Cramér's V,0.002509609936963049,negligible,0.5580423895619196,False
match_huggingface_dataset,Binary,Chi-square,0.34379994746451126,Cramér's V,0.0038772798981944177,negligible,0.3718214494674838,False
has_safetensors,Binary,Chi-square,3.083800145487079e-47,Cramér's V,0.05912359929293496,negligible,6.373186967339963e-47,True
has_quantized,Binary,Chi-square,3.087088438590041e-151,Cramér's V,0.10728248077911175,small,1.1962467699536409e-150,True
has_license,Binary,Chi-square,4.481879753468999e-111,Cramér's V,0.09171871801384829,negligible,1.3893827235753898e-110,True
has_space,Binary,Chi-square,0.028347896960142886,Cramér's V,0.008979445980085864,negligible,0.03254758539868257,True
has_pipeline_name,Binary,Chi-square,1.9534348661585215e-111,Cramér's V,0.09187017277819132,negligible,6.728497872323795e-111,True
has_primary_implementation_library_name,Binary,Chi-square,2.3420287828286527e-20,Cramér's V,0.03786616762346649,negligible,3.6301446133844115e-20,True
if_supported_libraries,Binary,Chi-square,0.00022561065089723374,Cramér's V,0.015106642303538339,negligible,0.00026899731453131716,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,1.9979563196628832e-05,Cramér's V,0.017468410321410305,negligible,2.4774658363819753e-05,True
has_widgetData,Binary,Chi-square,1.0222534763911456e-26,Cramér's V,0.04382172976349135,negligible,1.6678872509539744e-26,True
has_config,Binary,Chi-square,1.7983274084647413e-40,Cramér's V,0.05454931183564531,negligible,3.4842593539004365e-40,True
has_model_index_result,Binary,Chi-square,0.34783296885667836,Cramér's V,0.003844994564932799,negligible,0.3718214494674838,False
has_video,Binary,Chi-square,8.983211890026466e-72,Cramér's V,0.07337406719221959,negligible,2.1421505276216958e-71,True
has_bibtex,Binary,Chi-square,9.370775371460823e-244,Cramér's V,0.13655883312276995,small,9.683134550509517e-243,True
