Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6899272145565374,0.006220631796380868,0.6782656083088398,0.7024926550977919,5314,9436
community,non-profit,0.6414092956667438,0.01474945839580294,0.6129185895006309,0.6704032157401206,5314,2334
community,organization or individual,0.6786472106105013,0.00508137010321601,0.668966209100198,0.6881675359102924,5314,39959
community,university,0.6199127294655631,0.013831735284210575,0.5923492004945058,0.6463309300053328,5314,2353
company,community,0.6680697700587394,0.010851568198254112,0.6463171035611136,0.6898384775384458,9436,5314
company,non-profit,0.6673164490628756,0.014109489299440595,0.6408457556040655,0.6948375766333664,9436,2334
company,organization or individual,0.6381364319751791,0.0049284390809674955,0.6284331337238219,0.6478490876895726,9436,39959
company,university,0.6434197366527292,0.01381951274097968,0.615868481521321,0.6715023288780574,9436,2353
non-profit,community,0.6584012088189634,0.011567340651311254,0.6353415933272153,0.6805027373275183,2334,5314
non-profit,company,0.6711844667871353,0.006427538147307083,0.6585428558299041,0.6831572213553372,2334,9436
non-profit,organization or individual,0.6722556299204724,0.004766159747450651,0.6628891325752366,0.6812181399473374,2334,39959
non-profit,university,0.6290345422728205,0.013488050935737343,0.6007230341433014,0.6547120329279642,2334,2353
organization or individual,community,0.6869301214599919,0.011368458749280152,0.6655779340135392,0.7092742315551366,39959,5314
organization or individual,company,0.6678636213705466,0.005964176663806149,0.6559346190964092,0.679302978104214,39959,9436
organization or individual,non-profit,0.6501968672432351,0.013834715840061443,0.6229630223595025,0.678129116748051,39959,2334
organization or individual,university,0.6964702579544766,0.013675539283903032,0.6692151703550132,0.7231968767201281,39959,2353
university,community,0.6541202636767182,0.011623978933565473,0.6321727069588085,0.6766410168683566,2353,5314
university,company,0.6573679564955489,0.006332125914198637,0.6453263343373276,0.6698725593791607,2353,9436
university,non-profit,0.6468380081096666,0.013197388989995727,0.6216593433256103,0.67212352080449,2353,2334
university,organization or individual,0.6505286550929769,0.004962475031016841,0.6404499919329387,0.6603177631208318,2353,39959
