Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6946106575098062,0.005935023340945663,0.6822794185696353,0.7060195053641097,5276,9249
community,non-profit,0.724054387928499,0.013562529704801301,0.6979223678534466,0.7513284339611255,5276,2275
community,organization or individual,0.6801456742938744,0.005253315613661711,0.6700065760876085,0.6906225243835588,5276,40257
community,university,0.6362331205418782,0.017236208911496992,0.6028947321691873,0.6694768875678052,5276,2342
company,community,0.6930522584951377,0.010447624008582068,0.6728840868954195,0.7127929097069525,9249,5276
company,non-profit,0.7034170853507373,0.01381754025847132,0.6755273185506029,0.7310014669521001,9249,2275
company,organization or individual,0.6947044880689941,0.005073130731754374,0.6846218309932185,0.7047330174325959,9249,40257
company,university,0.6649836881458563,0.01760370103270833,0.6294729395012482,0.6980648431111153,9249,2342
non-profit,community,0.63412340263857,0.010987948645844188,0.6126052136863372,0.6548981790281901,2275,5276
non-profit,company,0.6973755565232728,0.00599653720321119,0.6857090479614196,0.7095001878363228,2275,9249
non-profit,organization or individual,0.6139030422133391,0.0052256407675317145,0.603818046276242,0.6242149759018725,2275,40257
non-profit,university,0.6524477006713086,0.017768340370995773,0.6187253618068251,0.6849930128431836,2275,2342
organization or individual,community,0.6979419093633187,0.01039132125446354,0.6765882684744301,0.7185934489960478,40257,5276
organization or individual,company,0.6830667494238778,0.005881432831208089,0.6713702618437982,0.6945438304791434,40257,9249
organization or individual,non-profit,0.6952647947064461,0.014412156995109428,0.6683744754221357,0.723143402125556,40257,2275
organization or individual,university,0.6285826205980252,0.018309412610576305,0.5941421460569277,0.6637217177025703,40257,2342
university,community,0.646295007798711,0.011121235714890244,0.6251957752166282,0.6682407149154854,2342,5276
university,company,0.6337315067138435,0.006086489908159897,0.621604219189439,0.644681991401081,2342,9249
university,non-profit,0.6650152588617191,0.014062667379387201,0.6372435694989989,0.6903354252914812,2342,2275
university,organization or individual,0.626922926824944,0.005579885586305806,0.6165411080319902,0.6388828332428417,2342,40257
