Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7589507767528518,0.009078256870478014,0.7409097261032416,0.7770806290362339,2106,7787
Audio,Multimodal,0.7026713571765822,0.013645757996350613,0.6770753697006744,0.7299810067712199,2106,1868
Audio,NLP,0.616632908543322,0.004739837871314719,0.6067760534747044,0.6252612130021112,2106,27523
Audio,Other,0.652235013747589,0.008238634840358248,0.6361487776341106,0.6678464639991675,2106,20161
Computer Vision,Audio,0.6905460968836153,0.017220634851229925,0.6559365041736328,0.7220765245981524,7787,2106
Computer Vision,Multimodal,0.6863604600834476,0.013384352788038472,0.659755277465305,0.7139422700115529,7787,1868
Computer Vision,NLP,0.6565409531186419,0.005032773286946907,0.6473117392911211,0.6668513751191159,7787,27523
Computer Vision,Other,0.6483391249262659,0.007057016275698366,0.6343351791406809,0.6621384001316629,7787,20161
Multimodal,Audio,0.6600261282654075,0.016597572680282623,0.6287886571979845,0.6912715144838555,1868,2106
Multimodal,Computer Vision,0.7344095444494043,0.009476861066584366,0.7147443860358489,0.7533497895386849,1868,7787
Multimodal,NLP,0.658889179378028,0.004742807729437309,0.6495079928248959,0.6687073398051651,1868,27523
Multimodal,Other,0.6257359660974605,0.00799439607541335,0.6092269804165875,0.6422190378866968,1868,20161
NLP,Audio,0.6629872355282311,0.017136666738279613,0.6303828154619014,0.6946677155320105,27523,2106
NLP,Computer Vision,0.7638209934875478,0.009341975858120107,0.7450090176606717,0.7818948526929715,27523,7787
NLP,Multimodal,0.7616899365797035,0.012599823095250077,0.736648171599569,0.7846631903310194,27523,1868
NLP,Other,0.6642928062893979,0.009338774111537834,0.6464967976656997,0.6836628862505265,27523,20161
Other,Audio,0.6773758348145804,0.014903718355824984,0.6475993268297772,0.7064998880346632,20161,2106
Other,Computer Vision,0.699414338312005,0.00906303412472189,0.6810909141906847,0.715889152306926,20161,7787
Other,Multimodal,0.6796941660415766,0.01302436533299268,0.6540834405309098,0.7054003168713828,20161,1868
Other,NLP,0.678067402140467,0.004700359201193023,0.6689925001138178,0.6869714308553252,20161,27523
