Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7278730482724634,0.007645119287246511,0.7121018564242432,0.741575510244143,2089,7446
Audio,Multimodal,0.6805453590932466,0.013800946223254765,0.6538083128997352,0.7072081161900625,2089,1912
Audio,NLP,0.6694092046703614,0.004983674964599293,0.659921734215267,0.6791917795292008,2089,27955
Audio,Other,0.6806317249715166,0.00727657485880811,0.6658392639921692,0.6946900863362168,2089,20034
Computer Vision,Audio,0.7458328018538417,0.01489581699806015,0.7160306827213445,0.7743257733676058,7446,2089
Computer Vision,Multimodal,0.690186033678116,0.013931836457822349,0.6627542452810344,0.7172113315407064,7446,1912
Computer Vision,NLP,0.6845062245859737,0.004912450243887847,0.6749494377618617,0.6943040925826793,7446,27955
Computer Vision,Other,0.6397461675754472,0.00819891091917981,0.6239244683577834,0.655768537056317,7446,20034
Multimodal,Audio,0.6724380892469857,0.01634133702217975,0.6382723674805499,0.7025965546636095,1912,2089
Multimodal,Computer Vision,0.7112577132429533,0.007983202941371122,0.6947241681469264,0.7262236813662115,1912,7446
Multimodal,NLP,0.7272208663671516,0.004784426944959787,0.717463965834804,0.7366557146245871,1912,27955
Multimodal,Other,0.6773044826190401,0.007686140330139206,0.662219599144745,0.6922435458490958,1912,20034
NLP,Audio,0.7550621046228466,0.014456499792097705,0.7278471568010879,0.7812351382176653,27955,2089
NLP,Computer Vision,0.6828789716795857,0.00867691849237202,0.6656381043651977,0.6998567995587709,27955,7446
NLP,Multimodal,0.7583517034263653,0.01266752978469129,0.7334998203735622,0.7831288426933823,27955,1912
NLP,Other,0.730356936964022,0.0064578562427331405,0.7180366282401134,0.7425806352117333,27955,20034
Other,Audio,0.7192703281862479,0.016364747017717562,0.686353973777835,0.7498873795510015,20034,2089
Other,Computer Vision,0.723674836160164,0.007807307713910909,0.7076031568758628,0.7384400605268873,20034,7446
Other,Multimodal,0.7201096196070698,0.013070384093670555,0.6930565807110954,0.745596670966606,20034,1912
Other,NLP,0.7302471315310995,0.004642820725679856,0.7209852481780958,0.7388341972972068,20034,27955
