Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6956421741785828,0.0058555805310239704,0.684331865482236,0.7073288138492633,5353,9700
community,non-profit,0.6625666966263623,0.014889738178305117,0.6337964524282278,0.6923999571283446,5353,2374
community,organization or individual,0.6878949880720994,0.00506733854840045,0.6777155195669718,0.6975822091579703,5353,40168
community,university,0.6400989345329207,0.013421806899556675,0.6151146691770416,0.6662067279849366,5353,2403
company,community,0.677572348611636,0.010919110533981613,0.6557775076646585,0.698884978895987,9700,5353
company,non-profit,0.689908455391661,0.014496703035701488,0.6612394361909352,0.7180852912404382,9700,2374
company,organization or individual,0.6554960183396741,0.005136217513080876,0.6454787611327869,0.6650830429170468,9700,40168
company,university,0.6598770817437807,0.013015822899378847,0.6343054979763414,0.6857000585994055,9700,2403
non-profit,community,0.6866427497413079,0.011683967901926814,0.6649863958614156,0.7102680834081224,2374,5353
non-profit,company,0.7031167221007217,0.0060690526051430365,0.6905264215066889,0.7150460846623159,2374,9700
non-profit,organization or individual,0.681284447638016,0.005127729945388626,0.6713914140339035,0.6909693036571047,2374,40168
non-profit,university,0.6389264458519645,0.013259183809918617,0.61252281166385,0.6650644444056945,2374,2403
organization or individual,community,0.6864831088043868,0.011217835046174808,0.6637550824796795,0.7083189694146161,40168,5353
organization or individual,company,0.6871889165373879,0.005763066532895411,0.6768368367346992,0.6981984118415284,40168,9700
organization or individual,non-profit,0.6684812046178603,0.013688134667010571,0.64083723008131,0.6949927549186857,40168,2374
organization or individual,university,0.7161358579231446,0.013003332136243637,0.6891859745101332,0.7395042354999359,40168,2403
university,community,0.6718226740518151,0.011539545210588455,0.6485580073248075,0.6949603768964627,2403,5353
university,company,0.680585368657186,0.00603780400782337,0.6684839045251304,0.6925635972625406,2403,9700
university,non-profit,0.6758176402187571,0.013321096899651254,0.6497618747333832,0.7007824328214489,2403,2374
university,organization or individual,0.6709290566688887,0.005091856433431046,0.6604260000459831,0.6811715135546295,2403,40168
