Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7742203848533751,0.008785859756377197,0.7565487329618935,0.7910571353768777,2187,7853
Audio,Multimodal,0.7095386021601551,0.013515591654855389,0.6844995000173157,0.7357685289812321,2187,1913
Audio,NLP,0.6158397656187063,0.004862847678784528,0.6063760086176749,0.6252710035577429,2187,27809
Audio,Other,0.6668467978690985,0.008488285920029837,0.6509584541646689,0.6835237761878654,2187,20276
Computer Vision,Audio,0.6978560934404909,0.015150091301877893,0.6677467368902334,0.7269196992112098,7853,2187
Computer Vision,Multimodal,0.703450475444814,0.012459614288485526,0.6784954635355237,0.7276686348945254,7853,1913
Computer Vision,NLP,0.6656091490468939,0.004771716765428701,0.6566661057468507,0.6751907960976875,7853,27809
Computer Vision,Other,0.6445892884534851,0.007356290837543027,0.6310471085940755,0.6591298188601837,7853,20276
Multimodal,Audio,0.682554334491311,0.01629805482181971,0.6521443104985789,0.7151606126330402,1913,2187
Multimodal,Computer Vision,0.7501749574889068,0.009187144618911302,0.7328269260419705,0.7682273792599403,1913,7853
Multimodal,NLP,0.6647154737577352,0.004511075415764502,0.6558926540539367,0.6739276751948828,1913,27809
Multimodal,Other,0.6307249328662881,0.007919497425703552,0.6148261037348639,0.6456924232223353,1913,20276
NLP,Audio,0.6718588900738189,0.015818202206199342,0.6414792924747414,0.7037636520579508,27809,2187
NLP,Computer Vision,0.7769332225254918,0.009081901552996336,0.7589107448534385,0.7933278553042058,27809,7853
NLP,Multimodal,0.7714401924590191,0.012229456691916869,0.7472919338940004,0.7960714420712492,27809,1913
NLP,Other,0.7060785451528291,0.008929439368518616,0.6881127709905608,0.7236032664669887,27809,20276
Other,Audio,0.6820271193138926,0.014257290914951284,0.6540276340775201,0.7097186104268822,20276,2187
Other,Computer Vision,0.7096351414836212,0.009217672326182078,0.6904981535485488,0.726961583229104,20276,7853
Other,Multimodal,0.6637571946135906,0.012575871095439324,0.6383083836963691,0.6880382192813036,20276,1913
Other,NLP,0.7098480201226204,0.004303091659422915,0.7010918394015041,0.7179016788321894,20276,27809
