Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7276096898097284,0.00791020315796773,0.7121749095046366,0.7427378576922338,2164,7521
Audio,Multimodal,0.6782255649675503,0.013571560085666125,0.6508068096657584,0.7048478686157219,2164,1942
Audio,NLP,0.6705465401909599,0.004705533075554181,0.6614237919055138,0.6801320444899959,2164,28302
Audio,Other,0.6845012733304471,0.007366462089215236,0.6698019444865168,0.6991701088500087,2164,20103
Computer Vision,Audio,0.7594870944339496,0.013457191085570086,0.7327775201508993,0.7874482689554266,7521,2164
Computer Vision,Multimodal,0.6917025288074009,0.0136391286142903,0.6642996453738617,0.7186658897354762,7521,1942
Computer Vision,NLP,0.6986331846802996,0.004803841153371564,0.6888971867016743,0.7085402791828022,7521,28302
Computer Vision,Other,0.6379633119524782,0.007761722158946606,0.6228303973901627,0.6525288451563135,7521,20103
Multimodal,Audio,0.6910506941143458,0.01621157745558618,0.660093401189333,0.7226067249051907,1942,2164
Multimodal,Computer Vision,0.7047557628799107,0.008104218407716225,0.6897765138379351,0.7194321902139741,1942,7521
Multimodal,NLP,0.7253441240050524,0.00467600784071117,0.7160987156520615,0.7349182411243225,1942,28302
Multimodal,Other,0.6805544963319948,0.007695799793314207,0.6658592818137824,0.6956970232186086,1942,20103
NLP,Audio,0.7656662239442583,0.01456175766392721,0.7366559316536057,0.7949043587207769,28302,2164
NLP,Computer Vision,0.7014089710343493,0.008559659643093728,0.6848385475676236,0.7180776005411086,28302,7521
NLP,Multimodal,0.7656700041304623,0.011633651007887082,0.7426337985187319,0.7886630213174551,28302,1942
NLP,Other,0.7420110954695963,0.0062826273157951095,0.7304168812393176,0.753953998884586,28302,20103
Other,Audio,0.7235263853381969,0.015467590396620958,0.6928286026601533,0.7532579935226014,20103,2164
Other,Computer Vision,0.7316709082954171,0.0077496622431928305,0.7160934188637389,0.7460130340395986,20103,7521
Other,Multimodal,0.7163728844172009,0.012714123476059824,0.6919024970927902,0.7415389193345473,20103,1942
Other,NLP,0.7357035141698767,0.004373119598218106,0.7272992748640285,0.744430560069682,20103,28302
