Feature,Dimension,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,Popular_Stat,Unpopular_Stat,Stat_Type,p_value_fdr_corrected,significant_after_fdr
word_count_yaml,Documentation,Continuous,Mann-Whitney U,1.0946699323340266e-91,Cliff's Delta,0.15177784662216096,small,16.0,13.0,median,2.4239119930253446e-91,True
word_count_content,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2956571350892114,small,451.0,234.0,median,0.0,True
has_video,Documentation,Binary,Chi-square,6.105034415043589e-11,Cramér's V,0.02665572457464032,negligible,0.023019431988041853,0.01294649529218353,mean,7.885669452764635e-11,True
num_code_blk,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.282055704079214,small,2.0,1.0,median,0.0,True
num_inline_code,Documentation,Continuous,Mann-Whitney U,8.278453851346635e-166,Cliff's Delta,0.17001368770802713,small,0.0,0.0,median,2.566320693917457e-165,True
num_static_img,Documentation,Continuous,Mann-Whitney U,1.765748559759762e-15,Cliff's Delta,-0.04454689095563525,negligible,0.0,0.0,median,2.606581207264411e-15,True
num_animated_img,Documentation,Continuous,Mann-Whitney U,0.4699874172595746,Cliff's Delta,0.0006574629284725103,negligible,0.0,0.0,median,0.4699874172595746,False
num_lists,Documentation,Continuous,Mann-Whitney U,6.6478514993053895e-71,Cliff's Delta,0.1244111990115004,negligible,1.0,0.0,median,1.2880212279904192e-70,True
num_table,Documentation,Continuous,Mann-Whitney U,4.956585938866018e-181,Cliff's Delta,0.17980984317554827,small,0.0,0.0,median,1.920677051310582e-180,True
num_github_links,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2639469830857281,small,1.0,0.0,median,0.0,True
num_huggingface_links,Documentation,Continuous,Mann-Whitney U,2.872722563386711e-40,Cliff's Delta,0.0951001909175009,negligible,2.0,1.0,median,4.452719973249402e-40,True
num_arxiv,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.26792532648210715,small,0.0,0.0,median,0.0,True
has_bibtex,Documentation,Binary,Chi-square,0.0,Cramér's V,0.18304550910913994,small,0.34738415545590434,0.1346771782992079,mean,0.0,True
has_license,Documentation,Binary,Chi-square,2.8819233557845824e-68,Cramér's V,0.07115160908145775,negligible,0.8481315396113602,0.7516813630249589,mean,5.255272001724827e-68,True
has_config,Models,Binary,Chi-square,8.563659843334053e-177,Cramér's V,0.11552541943409785,small,0.7910313901345292,0.6138095949783291,mean,2.949705057148396e-176,True
has_model_index_result,Models,Binary,Chi-square,2.7226380375369238e-14,Cramér's V,0.031014940706626557,negligible,0.07189835575485799,0.04984307278433717,mean,3.669642572332375e-14,True
has_dataset,Models,Binary,Chi-square,0.005831275270488686,Cramér's V,0.011235507052456378,negligible,0.24349775784753364,0.2283664624121955,mean,0.006695167903153676,True
num_dataset,Models,Continuous,Mann-Whitney U,0.0009275056936076764,Cliff's Delta,0.018214972748570854,negligible,0.0,0.0,median,0.0011058721731476142,True
match_huggingface_dataset,Models,Binary,Chi-square,4.714097910938616e-09,Cramér's V,0.023867628673052112,negligible,0.14409566517189837,0.17267598266327902,mean,5.8454814095638846e-09,True
model_size_bytes,Models,Continuous,Mann-Whitney U,1.8206570269858056e-47,Cliff's Delta,-0.10835064961321669,negligible,6300634922.5,12802811387.5,median,3.135575990919998e-47,True
num_root_file,Models,Continuous,Mann-Whitney U,1.344700221937522e-41,Cliff's Delta,0.10101829555306986,negligible,11.0,11.0,median,2.193984572634904e-41,True
num_modules,Models,Continuous,Mann-Whitney U,0.22366685344722437,Cliff's Delta,0.006765627768063608,negligible,0.0,0.0,median,0.2311224152287985,False
num_model_files,Models,Continuous,Mann-Whitney U,0.06095579844469704,Cliff's Delta,-0.01389056624933343,negligible,3.0,4.0,median,0.06515964661329685,False
has_quantized,Models,Binary,Chi-square,6.39406159895834e-15,Cramér's V,0.03176905087578638,negligible,0.23527653213751867,0.28052607980869826,mean,9.009814071259479e-15,True
has_space,Platforms,Binary,Chi-square,0.0438127229064343,Cramér's V,0.008214877767097175,negligible,0.0,0.0007659542669257211,mean,0.04850694321783798,True
has_safetensors,Platforms,Binary,Chi-square,8.994046448338549e-153,Cramér's V,0.10729186184357377,small,0.6023916292974589,0.4324092063966522,mean,2.3234619991541255e-152,True
has_widgetData,Platforms,Binary,Chi-square,6.628058054650664e-76,Cramér's V,0.07513250267507535,negligible,0.5491778774289985,0.4303168435211478,mean,1.3697986646278038e-75,True
has_pipeline_name,Techniques,Binary,Chi-square,1.3947407702596734e-216,Cramér's V,0.12800594551393357,small,0.8348281016442451,0.6422993573456882,mean,7.206160646341646e-216,True
has_primary_implementation_library_name,Techniques,Binary,Chi-square,6.963401493419187e-153,Cramér's V,0.10733140435591577,small,0.8621823617339313,0.7099088327604245,mean,1.962413148145407e-152,True
has_supported_additional_frameworks_Libraries,Techniques,Binary,Chi-square,3.0101074423521764e-195,Cramér's V,0.1214731832092155,small,0.8130044843049328,0.6284187714840831,mean,1.3330475816131068e-194,True
if_supported_libraries,Techniques,Binary,Chi-square,5.0163871036122644e-92,Cramér's V,0.08291254672492523,negligible,0.8095665171898355,0.688835749514273,mean,1.1962153862460014e-91,True
