Feature,Dimension,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,Popular_Stat,Unpopular_Stat,Stat_Type,p_value_fdr_corrected,significant_after_fdr
word_count_yaml,Documentation,Continuous,Mann-Whitney U,8.616608244249406e-11,Cliff's Delta,0.048505200971610575,negligible,14.0,13.0,median,1.0684594222869265e-10,True
word_count_content,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.29217582002819753,small,483.0,240.0,median,0.0,True
has_video,Documentation,Binary,Chi-square,1.468243654795742e-64,Cramér's V,0.06913752427844537,negligible,0.03602391629297459,0.010611268868629502,mean,3.5011964075898464e-64,True
num_code_blk,Documentation,Continuous,Mann-Whitney U,4.000613589222725e-271,Cliff's Delta,0.25156130795243103,small,2.0,1.0,median,3.100475531647612e-270,True
num_inline_code,Documentation,Continuous,Mann-Whitney U,9.73267713497328e-186,Cliff's Delta,0.17970611863112196,small,0.0,0.0,median,5.028549853069528e-185,True
num_static_img,Documentation,Continuous,Mann-Whitney U,3.578367424869486e-11,Cliff's Delta,0.03705388448753976,negligible,0.0,0.0,median,4.622057923789753e-11,True
num_animated_img,Documentation,Continuous,Mann-Whitney U,1.1699947362095666e-11,Cliff's Delta,0.005942039135630286,negligible,0.0,0.0,median,1.576949427065068e-11,True
num_lists,Documentation,Continuous,Mann-Whitney U,1.0191807872427791e-163,Cliff's Delta,0.19002786689569617,small,1.0,0.0,median,3.949325550565769e-163,True
num_table,Documentation,Continuous,Mann-Whitney U,1.863624249780913e-76,Cliff's Delta,0.11694452300672054,negligible,0.0,0.0,median,4.8143626452673584e-76,True
num_github_links,Documentation,Continuous,Mann-Whitney U,1.8723066470151885e-255,Cliff's Delta,0.2269202416784119,small,1.0,0.0,median,1.160830121149417e-254,True
num_huggingface_links,Documentation,Continuous,Mann-Whitney U,6.601636857402181e-14,Cliff's Delta,0.05379639539894631,negligible,1.0,1.0,median,9.745273456165125e-14,True
num_arxiv,Documentation,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.24928968904753257,small,0.0,0.0,median,0.0,True
has_bibtex,Documentation,Binary,Chi-square,2.346219039252808e-305,Cramér's V,0.1522129381378757,small,0.31225710014947683,0.13643326856972052,mean,2.4244263405612353e-304,True
has_license,Documentation,Binary,Chi-square,3.2504645340846724e-120,Cramér's V,0.0950036781009718,negligible,0.8774289985052317,0.7488043640711404,mean,1.0076440055662484e-119,True
has_config,Models,Binary,Chi-square,5.28398178977398e-57,Cramér's V,0.06484023165595128,negligible,0.7224215246636772,0.6229450007472724,mean,1.0920229032199557e-56,True
has_model_index_result,Models,Binary,Chi-square,0.0031489233950601245,Cramér's V,0.012032969780564813,negligible,0.06143497757847534,0.05272007173815573,mean,0.0036154305646986613,True
has_dataset,Models,Binary,Chi-square,0.29394768760440204,Cramér's V,0.004276806583682392,negligible,0.22720478325859492,0.23303691525930353,mean,0.3037459438578821,False
num_dataset,Models,Continuous,Mann-Whitney U,0.9118311682292537,Cliff's Delta,-0.0006112917671128185,negligible,0.0,0.0,median,0.9118311682292537,False
match_huggingface_dataset,Models,Binary,Chi-square,0.029231507547655137,Cramér's V,0.008885116036876327,negligible,0.1624813153961136,0.173236437004932,mean,0.031247473585424457,True
model_size_bytes,Models,Continuous,Mann-Whitney U,8.608782635195912e-49,Cliff's Delta,0.10991078750900023,negligible,15446597121.0,11852966123.0,median,1.667951635569208e-48,True
num_root_file,Models,Continuous,Mann-Whitney U,1.210078516470669e-32,Cliff's Delta,0.08896297013657996,negligible,12.0,11.0,median,1.9743386321363547e-32,True
num_modules,Models,Continuous,Mann-Whitney U,1.660091749975735e-87,Cliff's Delta,0.10876820345648697,negligible,0.0,0.0,median,4.678440386295253e-87,True
num_model_files,Models,Continuous,Mann-Whitney U,2.2014442127489563e-35,Cliff's Delta,0.09206469815666092,negligible,4.0,3.0,median,4.014398270306921e-35,True
has_quantized,Models,Binary,Chi-square,5.402567155716854e-169,Cramér's V,0.11291757458514055,small,0.14738415545590433,0.3109774323718428,mean,2.3925654546746065e-168,True
has_space,Platforms,Binary,Chi-square,0.02834837968013206,Cramér's V,0.008934347227762538,negligible,0.0,0.0008780451352563144,mean,0.031247473585424457,True
has_safetensors,Platforms,Binary,Chi-square,1.5143068941871696e-63,Cramér's V,0.06857670857702941,negligible,0.5428998505231689,0.43433343296966076,mean,3.353108122843018e-63,True
has_widgetData,Platforms,Binary,Chi-square,4.5152203661337345e-32,Cramér's V,0.04803603963375886,negligible,0.5189835575485799,0.4428336571513974,mean,6.998591567507289e-32,True
has_pipeline_name,Techniques,Binary,Chi-square,5.6378055646019066e-129,Cramér's V,0.09846065532854642,negligible,0.7979073243647234,0.6501083545060529,mean,1.941910805585101e-128,True
has_primary_implementation_library_name,Techniques,Binary,Chi-square,1.0293660220683316e-33,Cramér's V,0.04931712741448586,negligible,0.7971599402092676,0.7278620535047078,mean,1.772797038006571e-33,True
has_supported_additional_frameworks_Libraries,Techniques,Binary,Chi-square,1.0995056290284257e-13,Cramér's V,0.030271218741672355,negligible,0.70254110612855,0.6568898520400538,mean,1.549303386358236e-13,True
if_supported_libraries,Techniques,Binary,Chi-square,1.3453590710040242e-09,Cramér's V,0.02470270350580254,negligible,0.7431988041853512,0.7074988790913167,mean,1.6040819692740287e-09,True
